idx,Run0,Run1,Run2
0,-151.45033256410358,-150.96528911040556,-171.0986918480442
10000,-35.7633274879519,-35.82754277064882,-33.59800897042267
20000,-31.77246385068763,-36.9629532727608,-31.890830186144647
30000,-28.23588906544721,-23.901928079482108,-31.76002982182309
40000,-27.159936114192803,-27.40413170081227,-31.896103833754864
50000,-26.351925900165103,-21.996777100409506,-33.97196466404175
60000,-26.452412352573813,-20.424734945086097,-25.034850577220354
70000,-21.708075095286976,-21.506153489671963,-21.948243134095367
80000,-22.808151428474964,-21.624001492230533,-32.23531193334744
90000,-22.170597484870633,-28.48654481586994,-19.397295148008876
100000,-17.681688912154076,-24.441836242155855,-18.839589491250194
110000,-15.18660090171372,-22.533605834843012,-17.356048440877487
120000,-11.458186498198238,-22.381306967707115,-17.598149591741368
130000,-16.12244876347846,-22.241441558036822,-11.220773540052631
140000,-16.79935946086042,-24.852444952879146,-13.816230329856726
150000,-13.706658508678686,-20.281114958141632,-10.467174197353769
160000,-13.510009527181241,-21.163164058806352,-11.633172591561653
170000,-17.025641042277304,-18.960114199032823,-13.030664959919031
180000,-11.30822985747486,-21.448520604089367,-10.74618977548455
190000,-11.291375419426585,-16.823456137124204,-15.5451945039776
200000,-14.526334678583135,-17.39981215493615,-13.822116981563333
210000,-10.99843412781554,-19.463937398424715,-11.78235981889429
220000,-10.926298307081542,-34.75876772858557,-11.281566502455297
230000,-11.802499547486384,-13.955130805980414,-12.067737000497736
240000,-14.96984558631378,-16.68255195269314,-12.521082260600556
250000,-12.065326633585444,-21.168981555547262,-10.345515698674875
260000,-14.811884443671518,-14.261810795623926,-12.97417621364844
270000,-9.855552982562926,-16.627447710036197,-9.086813149168337
280000,-11.301656255242753,-14.203347888674923,-10.422729260197142
290000,-13.22627894813164,-16.10738498957467,-9.352875400021391
300000,-8.968444321916925,-13.596233987655548,-11.348508609119882
310000,-13.64177912939095,-16.08587026993443,-16.584157519873184
320000,-12.521854931003743,-15.250009564026936,-11.139616864658175
330000,-12.61047164707495,-26.560193862863557,-16.683987862111437
340000,-11.38391477984063,-13.401071548099251,-8.23528290275882
350000,-14.831747897044345,-15.990375828972672,-11.258950778710235
360000,-14.575904820391846,-15.513213773599968,-12.13342874536636
370000,-13.446791916222786,-13.77983981175177,-15.465085493946749
380000,-13.90028928561048,-16.745538793437838,-11.733267859237065
390000,-13.267870272897953,-17.51655247738234,-15.490898938536139
400000,-15.576368738552597,-16.644590667302307,-14.073544952110677
410000,-13.971116708086752,-18.054869541462974,-11.197024926994374
420000,-14.481144641562487,-15.649593951663295,-13.35489091543727
430000,-12.638545692734477,-16.472492465936305,-14.012177128637697
440000,-13.993788196080255,-18.168755753019408,-12.613893350461888
450000,-11.213969230967404,-22.73688597689456,-11.810168480861808
460000,-9.636361963399072,-21.361734259133296,-11.923460686082427
470000,-13.415959339199162,-13.188011090444597,-16.380989300856303
480000,-12.672080589335298,-14.076612826024935,-13.338393820345129
490000,-9.437071715031898,-14.950411837834576,-11.540727552548699
500000,-10.294864280629552,-16.352687555837456,-15.563346087307654
