idx,Run0,Run1,Run2
0,-159.88230985160354,-171.16512328453743,-170.4367976710051
10000,-34.58496100496215,-41.38056511245804,-34.26553404226918
20000,-30.36174889942659,-40.48959219703546,-33.01191573308831
30000,-24.733617185222723,-38.28269938677194,-26.822853245740188
40000,-24.242754653997455,-35.61826480606806,-37.32182564746824
50000,-20.680623852599037,-32.94141434614843,-24.347763026197
60000,-22.71610475141362,-33.11978169514021,-25.835163089649406
70000,-24.75502815444528,-35.818714856051436,-21.947977700942413
80000,-31.988444274460175,-35.99080446404131,-17.061280455564848
90000,-23.942184521397134,-26.110988685978718,-11.806373335241243
100000,-22.036631511603098,-26.930848861534844,-14.769974344394074
110000,-22.226505269203802,-28.142825487592695,-19.11710243317464
120000,-20.863579526626374,-28.246807604757983,-18.621868057435048
130000,-17.629331163473147,-20.91853133141644,-10.038363964867406
140000,-11.753400349838751,-20.560266121027855,-12.565719147960603
150000,-16.534434467893217,-17.055728066126417,-15.335386898203438
160000,-17.24756934496508,-18.406716821913204,-13.385991155306057
170000,-17.2289090304836,-31.561447071473,-12.285063057821416
180000,-15.922961951431578,-30.910180988228824,-8.98576184452613
190000,-13.005692223086356,-25.214984334765685,-11.75335936565686
200000,-13.801702160301557,-19.453537211107747,-15.744358845193736
210000,-16.88061914979238,-17.82081523249242,-16.02907122426022
220000,-13.43118697725083,-18.23684039588816,-10.44842860684731
230000,-18.954260061365755,-16.446482883797895,-11.090786238658394
240000,-14.350825903552078,-16.111298696212152,-11.494015587075562
250000,-10.211766610428336,-20.351172426346587,-13.899645235615557
260000,-11.08175939928057,-18.244165772296647,-18.817117525255423
270000,-11.521793096252024,-16.632182238211346,-12.559274427343876
280000,-13.655621008382495,-16.16212014423693,-14.272012581379045
290000,-14.82213811228765,-25.872739525228724,-11.029888024051845
300000,-12.98288110680577,-18.504028628924523,-9.12977443588155
310000,-10.164316150159056,-15.92624444453516,-10.414277989954769
320000,-11.844333877558284,-17.849547207406594,-33.477669038706104
330000,-14.03153612996669,-21.37541582361262,-11.496825980057823
340000,-8.888766523847442,-15.698887653614475,-11.198570698474642
350000,-17.97551871749179,-29.344031130213207,-14.693381226380216
360000,-13.66694945571125,-15.29986566530966,-16.28115226085472
370000,-10.023393205821424,-14.973956514804609,-9.742932973177192
380000,-10.846886761320238,-17.21253171678445,-10.159680764976924
390000,-12.317378371698194,-16.083687707436823,-9.825870314855386
400000,-8.912963111813951,-17.42084000699674,-14.123351847153177
410000,-10.609427453611286,-20.201563165500684,-19.033536293708835
420000,-11.321099103487684,-19.38385089398269,-8.226164923840521
430000,-13.219391482555988,-18.035608200070328,-12.262862196181802
440000,-9.521658706700537,-15.662630881420819,-14.201019732912082
450000,-22.191662634902148,-18.34902450895372,-16.255779934747675
460000,-13.601167913586986,-18.319795439539636,-13.581394723690837
470000,-12.365739286841748,-16.009675021193868,-8.832442169368798
480000,-9.613214100350792,-24.5793687865933,-11.971398671451103
490000,-11.780954241598886,-14.553492286356727,-11.81262261142716
500000,-10.591595973460965,-17.820540205882597,-21.63142341357286
