idx,Run0,Run1,Run2
0,-113.60959841839988,-119.2866697306524,-121.07611241674745
10000,-35.13233270391208,-37.8579118358844,-34.84820318745112
20000,-42.47814655036085,-36.508401780797016,-36.611000604312714
30000,-37.62152566460993,-34.54733363469102,-37.72071930320015
40000,-33.29376822864616,-32.90738729628588,-43.49104347027283
50000,-34.22784183097282,-32.927550639795044,-35.57164782153211
60000,-35.799462839949925,-35.2787207369456,-41.40156969719942
70000,-35.891676361579286,-34.830251424447155,-33.95192715131763
80000,-32.48992372589585,-32.50877905903441,-32.51695914501801
90000,-32.897515080040044,-30.41801416723469,-32.95564696083273
100000,-39.53995013559406,-29.719092047066965,-30.31752311970113
110000,-34.54139681754146,-40.70632741425859,-35.19225680035186
120000,-38.04355360481055,-26.776847989162533,-31.516232038715618
130000,-37.30980634658838,-34.51004330789405,-26.69651810814136
140000,-50.83533247485716,-30.268659704148483,-25.981458669903496
150000,-47.86268143192595,-29.47291829046542,-28.68904608646856
160000,-45.25632530256003,-29.616928673092122,-27.92147902697749
170000,-45.33860325063066,-30.107275672474398,-25.29211246294621
180000,-41.294863473620936,-27.18465705692272,-26.168383957762366
190000,-38.162579701562045,-32.346083053980045,-28.54486244810513
200000,-44.458026416022186,-51.300394259255,-32.72735021622561
210000,-35.45580613287829,-47.56229108233743,-26.408945260790613
220000,-32.250950601867025,-38.31999687910455,-27.008892465544623
230000,-34.93557426495257,-38.39565053040921,-26.90736432726385
240000,-34.9967769821754,-48.18145868279397,-23.872954546962248
250000,-40.001835031565676,-31.260915135835415,-21.34325933519013
260000,-35.20344560375025,-30.072356863375756,-29.563689020193085
270000,-31.119293737508702,-26.329630093286404,-25.728658750355798
280000,-30.417067202291104,-27.785013996186795,-26.983533264040908
290000,-28.404912261740968,-29.610225638787636,-26.362257384075065
300000,-30.118213334901558,-28.593751556598775,-25.065441401207334
310000,-29.875009662901512,-30.935099166490815,-26.67910702622113
320000,-33.46856445718234,-29.63667027839472,-23.604433455732664
330000,-34.81326066419538,-23.689183782076586,-26.780285741856243
340000,-29.581156162607485,-24.97106751912542,-22.649597261397055
350000,-34.14385456080158,-29.210044592031966,-26.282465077190345
360000,-30.10116982481413,-27.027723970206488,-27.26971382237714
370000,-30.28261429036063,-27.2854014806863,-26.756631847636477
380000,-34.84796939773473,-25.3475328022357,-22.083168741522318
390000,-31.294992815883397,-26.68760691376585,-23.174420829503138
400000,-29.77862953534781,-24.711667917307388,-23.58393970939874
410000,-26.486316189575522,-26.78924357434081,-26.867394802570253
420000,-28.407244371279226,-25.62992976158196,-27.339539171238346
430000,-29.837771553938623,-26.572764237548526,-23.207032838993165
440000,-26.151911181637754,-22.575518157821364,-25.264547162307633
450000,-28.031043260901473,-26.02742352858717,-25.794685470972595
460000,-35.14989945919764,-22.123407432348113,-25.268531928896827
470000,-28.056754103307675,-22.395716230023247,-26.55359352137771
480000,-27.262978679690423,-23.80143806506361,-23.125636678977163
490000,-28.511088464391346,-21.323613635565486,-24.615180412156132
500000,-25.450598251773112,-26.51284379035014,-24.30669063790651
