idx,Run0
0,-159.49835996325152
10000,-40.042234457309114
20000,-44.38760224057717
30000,-50.32642423248221
40000,-51.91443466771512
50000,-47.541944949444165
60000,-45.83779376376354
70000,-40.8584433532583
80000,-42.21224267390066
90000,-42.80195283306852
100000,-43.1608361623114
110000,-43.80175848363969
120000,-42.945395149890004
130000,-51.71035422203929
140000,-48.55769762621838
150000,-46.225652854176616
160000,-41.87982739738691
170000,-42.310928902816435
180000,-43.947157635841485
190000,-47.31170121286214
200000,-46.55945372949558
210000,-41.99608396625259
220000,-47.313517294105345
230000,-41.33979036658741
240000,-44.411087473375204
250000,-42.968393198400456
260000,-39.20293912595784
270000,-44.924864771313196
280000,-43.860752213450866
290000,-46.77749538720145
300000,-43.28569749322401
310000,-43.05341848063732
320000,-41.782049310481575
330000,-44.92883457788644
340000,-43.8161115531381
350000,-45.024822242376764
360000,-41.56215647975537
370000,-45.924094431006296
380000,-41.4966127663464
390000,-44.26489333628231
400000,-49.870728719879956
410000,-42.33396742639098
420000,-41.00002155837203
430000,-39.13164924298768
440000,-38.231462266140824
450000,-41.44962357709844
460000,-43.50228627119464
470000,-41.388969056347655
480000,-46.27791216236661
490000,-45.923889830282754
500000,-38.36385461056058
