idx,Run0,Run1,Run2
0,-164.53685708002322,-174.7678042430112,-170.5107776929311
10000,-39.49695684127023,-38.72875591778737,-40.22164581972445
20000,-36.695780361805056,-37.429492269169195,-35.75040940012844
30000,-36.35587938521482,-43.79238837295142,-39.480141871084214
40000,-48.52527941791009,-37.47987001280122,-40.72155247936951
50000,-37.692782813258574,-37.56725763559769,-40.190477973291884
60000,-39.37115445134079,-43.02936174564166,-41.386259483304386
70000,-42.446052700789785,-40.546217406118124,-39.09964463213417
80000,-38.727774924038386,-41.28011240278784,-39.04089227054317
90000,-41.028542462851064,-41.72159360472311,-39.951065074384516
100000,-39.576463719071626,-41.44634176213126,-40.03942524955118
110000,-39.44262869032222,-43.24873630172314,-41.82089206800971
120000,-42.03286042814064,-41.13226069412917,-42.28192796339206
130000,-39.23152868027593,-41.39572341392046,-41.28812030423555
140000,-39.85732029229109,-39.43635692862373,-39.25107416409629
150000,-39.43976533434637,-39.14123184627729,-36.53481800507231
160000,-40.1361086280014,-38.85495361702246,-39.97406248583008
170000,-40.08278837950857,-39.72843045906371,-44.182220631117715
180000,-40.56707895830354,-39.55794842094212,-40.42948738142761
190000,-39.87224885738363,-36.38336629506673,-39.9593642110807
200000,-39.99977614164637,-40.79814570090624,-39.953964285986146
210000,-40.55127500030298,-36.42171599131333,-41.17766985003697
220000,-40.22047598356842,-38.306559648948685,-37.36510668292476
230000,-40.4795631472562,-39.38241690809611,-38.79152481796744
240000,-40.04937198623442,-39.79528380235959,-39.18458730747899
250000,-39.54652674747559,-39.14033736776908,-38.41035282511459
260000,-40.53368961808694,-39.442528674302665,-38.290463602015954
270000,-43.54420735336289,-38.75311395376683,-37.39249345788889
280000,-41.422226295761135,-39.763164223837244,-37.50732263998178
290000,-39.902629162267765,-39.19867984219197,-38.5157885341665
300000,-39.7765212589481,-37.72929256265869,-37.42854785313373
310000,-39.27053644657653,-42.50805798915385,-39.34948772631055
320000,-44.87323981068561,-38.91444273861916,-37.590253669413336
330000,-38.907131358802616,-39.145099487011564,-40.50030142984826
340000,-39.54565065973408,-39.38967794580269,-42.82403547544405
350000,-38.25125484109775,-38.55547432045877,-42.84288290292147
360000,-39.769263876306766,-38.303849841758435,-39.17391007394859
370000,-36.399400487913475,-39.96277340574145,-39.54435183038551
380000,-40.08448841171677,-40.13448191643125,-38.66397716597109
390000,-39.29088954676413,-39.90586702274184,-40.16526466524224
400000,-38.90196904685032,-41.60954813548641,-41.23180075065052
410000,-39.82743558957135,-38.63798858412422,-39.20755730938022
420000,-39.3561969354556,-39.36957414045295,-39.63137344118203
430000,-39.37949491740586,-37.91818449125976,-41.53510039423783
440000,-38.98581139062804,-35.95396269189858,-41.017753231753176
450000,-39.123213961981335,-38.16155078644983,-38.607831417787445
460000,-39.19973703568947,-36.95733379663164,-38.75167676329281
470000,-40.04284308927035,-36.26045012117743,-46.59218426495465
480000,-42.63033824274761,-36.190995818861175,-38.53909343823894
490000,-35.38840566049871,-36.52517653879831,-42.12494139833858
500000,-39.9127692876289,-37.732858941739316,-37.33065119864764
