idx,Run0,Run1,Run2,Run3,Run4
0,-183.86940100901865,-176.95352353341622,-106.80313234517237,-173.8952662843938,-111.88272835715699
10000,-149.28879853728228,-151.5855511318151,-114.93079943700695,-121.71074939085328,-117.59536723852625
20000,-189.63523641932437,-177.37844015536953,-213.3608885358567,-153.70797933254576,-218.83777086940867
30000,-113.43306703036828,-163.4644650641017,-183.2847730518167,-129.9137623671669,-162.33840454591936
40000,-82.40918625485816,-122.88823836879172,-88.02900330077551,-87.14489360333114,-115.5373808656992
50000,-68.65811093202466,-49.91022006568517,-61.33045899123115,-69.50931578537636,-34.44517337325598
60000,-62.490367390352404,-29.40889110211938,-27.697558270912257,-32.42689703310683,-27.330320181086922
70000,-31.503825972897086,-24.091716880963297,-30.962444840064556,-25.751657999173165,-32.97977618867038
80000,-30.050328303846616,-29.422026438928985,-25.852485379629634,-20.576283007843465,-32.07648258285789
90000,-32.110661514390394,-29.403644292456438,-27.24292790062555,-22.84755725971734,-30.991234752602132
100000,-32.32188776200893,-29.74279636442531,-29.715116770379417,-38.36425101146244,-31.345013082046112
110000,-26.61300881026284,-29.554540947128068,-29.829257555981638,-38.36822122028764,-30.765126712861537
120000,-24.879099609952345,-29.093716617551355,-29.379946685617586,-29.73945361810097,-31.155803394600852
130000,-25.715562992808163,-26.154023400437346,-26.22101391273276,-30.08200534650316,-30.182434988920768
140000,-25.573809820499743,-28.86807938135134,-26.36360314082857,-28.886581124376452,-30.467905717094364
150000,-24.876809215363718,-29.25630044613502,-28.941784487571322,-29.21792166803494,-30.354621378315645
160000,-21.627013877986755,-29.887125414566707,-29.73867246511288,-29.443357010658097,-30.049393412648506
170000,-25.32746008189323,-29.756170492572846,-28.993095906082758,-29.56959990274798,-30.48683461764651
180000,-25.57516251170352,-29.708092306604307,-29.071379953866465,-29.89083398835881,-30.289916464782586
190000,-25.706911897859534,-29.634981584592374,-29.540552293217083,-35.37788125574203,-30.46435726778435
200000,-21.572297971537182,-29.40572219281613,-29.366344591181942,-29.197378038634035,-30.69619942300479
210000,-21.827221739499645,-29.26473122070919,-26.11535467731638,-28.223929587222862,-30.425227441041418
220000,-30.67405470128033,-29.068289743487398,-30.341320629545862,-23.634998657204118,-30.219041481683984
230000,-31.093785933648277,-29.2805460935323,-29.661783495719746,-23.721751277356535,-30.924270432894293
240000,-21.28332565930625,-29.009158651809507,-23.585741777499916,-29.144414660069693,-31.008084345211408
250000,-22.082276982239573,-28.935361611103097,-29.506991852731776,-29.592988434763278,-30.32304509984291
260000,-25.278131567741276,-29.11443024756757,-23.13112964535628,-29.31703659638142,-30.65133618182282
270000,-30.194786327982836,-29.12668763158386,-23.00859201734759,-29.453423284409322,-30.755371707164215
280000,-30.93241990791272,-29.016558102074374,-27.19403085855295,-29.121946271831852,-30.549195236497248
290000,-30.727343711863593,-28.913247813430896,-27.19851462990939,-28.055259624081078,-30.63523949932954
300000,-31.050691810359957,-27.12878716274069,-21.027808320772987,-29.813103928561272,-30.669087176682133
310000,-31.052378526349404,-29.33941953156933,-30.06847986013726,-37.10036634885659,-30.568963936648
320000,-27.952561609573817,-29.735220522516652,-27.387957045116522,-29.15698570133659,-30.61374132502653
330000,-30.236290785872715,-29.96862726694661,-25.671901022747104,-29.791541626699555,-30.536254968920648
340000,-30.78872520014064,-30.09185003012062,-35.76318481202956,-29.119770640911618,-30.356982517553813
350000,-30.304480715109907,-29.812037488119778,-36.45959688644473,-38.93762049557952,-30.739720465464423
360000,-30.33912657351005,-29.991904687615293,-39.55978433713643,-37.938383184775645,-30.533784258326342
370000,-27.725222239354768,-29.96420858293467,-32.61278593696775,-27.320393734130356,-30.699611342350764
380000,-30.189577699325046,-28.802856742106776,-28.90275901623617,-26.922537712792927,-30.825314643047925
390000,-29.92749046693282,-28.544485237358476,-29.250402650800854,-36.29137010045652,-30.80605106996596
400000,-30.867545665775605,-29.161630911235232,-28.166471951120577,-35.263356513875564,-30.68570050194601
410000,-30.407418472634763,-29.88359568795845,-40.53959359090367,-36.00669180573167,-30.583129916657025
420000,-30.567261230372527,-28.680934073790645,-35.01615660659118,-53.598141010906026,-30.571388730202404
430000,-31.269457144070376,-28.89428934519371,-34.34921891174847,-41.841523683300814,-44.06385865743333
440000,-30.87658707023983,-29.106413318580525,-38.35498913826949,-41.67557887025436,-39.791036048278166
450000,-31.376041594287372,-29.575880452664215,-38.416587425247734,-39.54393513067393,-37.669255656652155
460000,-30.96700445329956,-29.371686631215304,-30.945554882765638,-42.03151675390778,-30.370809197838994
470000,-31.24945508166969,-29.61698351916566,-31.419305748003634,-39.789023059031244,-39.06955547285834
480000,-29.414433661873144,-29.952207453673704,-31.75000392915776,-39.63757990834079,-39.05388641587811
490000,-31.449413944854353,-30.361699736097137,-39.61245312074862,-34.86291256090404,-38.517928940644794
499712,-31.60960128599456,-29.699379132138287,-39.42128687696475,-42.63220904896153,-38.44207122638491
