idx,Run0,Run1,Run2,Run3,Run4
0,-253.9862600040328,-228.8110871099292,-154.78424871398371,-269.01520038781325,-248.8204949815394
10000,-213.9294285156175,-107.81541819514578,-141.93695795613436,-116.66966903596193,-219.6529683822626
20000,-185.03370786625223,-152.88361235226424,-140.93539442542715,-155.72206398348877,-121.23836361132884
30000,-115.00519660381924,-82.40048986716339,-66.71190563650616,-123.90318424344905,-116.68848381969134
40000,-72.77356771997506,-55.08739709106075,-54.15233172581077,-118.29177538126824,-48.95123782841566
50000,-48.17899533826373,-46.508713839696696,-53.62383401349534,-73.04482111065849,-83.49225981492428
60000,-44.656361243816356,-45.31690667393064,-71.85258397893341,-69.08408036048552,-83.5349881623089
70000,-43.271480343951644,-44.95336172133804,-73.47850701699448,-57.28942947344046,-49.959617255913116
80000,-42.4314242771283,-44.72559518439185,-68.9537736513453,-72.68896572167142,-49.97894523189162
90000,-43.04268143189049,-44.161862911743846,-72.57920566606414,-85.78029583010951,-49.90434160146368
100000,-43.57137026120394,-43.64927525855258,-71.08057447510022,-56.40877771166266,-47.253072020136685
110000,-43.54794915750701,-45.72652354521379,-89.49044257626811,-80.12616552664595,-49.734398196636754
120000,-39.85700358627561,-44.26371831792018,-65.69894720531192,-80.3201061492247,-48.45119393247511
130000,-36.02534633393605,-45.781537326019084,-63.74603275741492,-50.3789796882617,-127.33392769420331
140000,-41.311022025336435,-44.835899456464624,-63.373621500418,-56.986305487205236,-48.01843022893619
150000,-41.37792338911475,-59.79978009197631,-61.48462222900606,-81.80915255984473,-47.58842301417455
160000,-36.4298795215409,-44.006775897729156,-62.32121252635689,-49.416727991075604,-45.16863896495021
170000,-42.939769424304174,-45.17945191812903,-61.22797845483567,-50.86566520140367,-46.735330930608
180000,-41.21094087191377,-46.3991427756303,-58.39866920226732,-48.29581870793824,-47.26344749708904
190000,-42.26423003849306,-45.81204629432491,-59.83002708044754,-51.3891632867648,-47.58814865121773
200000,-43.40554118120277,-45.904383527113936,-60.50754865382991,-49.0286305159185,-49.398768577370234
210000,-42.64315144408652,-44.9349611235968,-61.05119050000568,-47.9459362561598,-49.58967798072763
220000,-42.49626283320767,-45.824705184450934,-59.101329941783426,-48.36051850303882,-52.5526739468652
230000,-40.22238842975619,-45.46402298602412,-59.73709189040532,-47.616179067990025,-47.509935127797156
240000,-42.243933019425455,-44.629169461954234,-53.40563148991375,-48.85593286527263,-47.75278100466335
250000,-44.01895648597132,-44.29046328494466,-51.200452907504385,-47.637191396002734,-47.03746457216516
260000,-43.23345580560652,-42.149175568604655,-49.77981863606636,-47.55186980525582,-47.0744806947036
270000,-42.692416509432405,-38.76767554589069,-56.149062344896954,-48.38524347214507,-46.110729874392156
280000,-42.785281605368326,-43.38448623987635,-56.6783667189884,-49.60611459701728,-48.202296820208716
290000,-43.353834930000986,-42.05942852013611,-58.3777584066858,-49.54122679088597,-119.92419936985554
300000,-44.75034522754777,-42.11811486381779,-49.224250022130285,-46.837452220056534,-50.43641850502741
310000,-42.783285364105744,-42.10735722867665,-48.84139372173437,-46.224597929116435,-48.49692944724654
320000,-42.700588822245436,-43.17730980812184,-47.45845929255176,-45.78117100886017,-60.28404597655584
330000,-42.88459448468951,-44.34803169971908,-56.62067487188346,-46.10151503698238,-59.28378193773662
340000,-42.618994125230635,-42.58315655303347,-56.29682053909866,-46.30470443491144,-58.98219104771174
350000,-42.79517123179625,-43.52230327898515,-57.40829028932332,-45.48383736437402,-60.43463554495762
360000,-42.38445190453467,-39.92501351506677,-57.52387664644098,-44.4651282776108,-60.48094647463146
370000,-41.87059635886867,-45.03435872864062,-54.305246513815945,-46.169847805861664,-59.82813060167114
380000,-41.967725460341605,-43.328127914621625,-53.39651162757272,-46.378364115669044,-56.016253088756606
390000,-43.091573221504014,-43.59007347266345,-56.266950571764596,-47.34542474382576,-59.113445953432844
400000,-42.25004872178131,-41.533546075435204,-56.20890322755381,-46.93437679316163,-73.979847282831
410000,-42.15918885826216,-42.64614749983489,-58.53094569191073,-46.37169688125303,-60.1405542118006
420000,-42.26113490916059,-41.73269625326624,-46.331262322341374,-46.33702672289678,-58.54969037384785
430000,-42.79976126151049,-41.992649400356235,-47.792534711278996,-46.4258841973964,-61.3386043789777
440000,-40.95629720353646,-43.24551150985607,-48.04652996575267,-46.371637000065085,-62.33134367239934
450000,-41.67154119300091,-41.83950336887734,-46.76653186027137,-46.89064971408418,-61.937566795244656
460000,-40.94403754459025,-40.443276260217104,-47.03549995025731,-48.99447743234908,-62.004825276300785
470000,-41.46304510437811,-40.03152537992913,-47.4774655538947,-48.88701775847009,-63.61495900699335
480000,-42.64332115411305,-42.40582493225276,-51.68353660897204,-47.35079246089078,-71.03840181986195
490000,-42.36328482376904,-39.03731801014025,-58.948535662009775,-46.61802500624256,-60.647806580432864
499712,-41.36952224196698,-41.052453868017786,-57.1921216020041,-47.192594196883604,-59.071967633447805
