idx,Run0,Run1,Run2,Run3,Run4
0,-183.86940100901865,-176.95352353341622,-106.80313234517237,-173.8952662843938,-111.88272835715699
10000,-126.16722711944188,-80.0175972696079,-112.72860641839864,-69.44653967401781,-138.60719369286795
20000,-97.16144334707302,-143.03275579896064,-100.33929000862119,-195.47552394990464,-111.95166533693205
30000,-87.64596567367495,-146.89151978273983,-78.64128919260955,-85.47556137210267,-91.81422431812521
40000,-54.96728306625861,-83.62397581359916,-78.66002544221307,-44.85447901809195,-78.31238048135891
50000,-34.77523691521866,-43.092497690543276,-65.00240702309058,-33.82900611330685,-36.90893063540113
60000,-27.060398461177204,-28.434552437524424,-39.7221169651336,-32.78012983119431,-34.331716965605594
70000,-32.65186926165003,-30.751227305475094,-37.5938247802034,-34.0522300849097,-33.79471479648005
80000,-31.5456497161302,-29.078712179482537,-33.88558887742404,-32.494424335844606,-35.77966408943182
90000,-30.19577201978552,-25.90069579542054,-33.52051637907557,-31.604170682925055,-35.54072458427733
100000,-27.595053333934338,-22.52746431421527,-32.99950858213004,-32.47609353893258,-32.95172883113158
110000,-27.266719939630082,-20.864529748494867,-32.780758698665885,-31.1540049675687,-33.83779747909365
120000,-24.788726506685098,-20.779720691502956,-31.649453308985862,-28.28851010673618,-33.14492164770971
130000,-24.596836062732738,-21.25720341811004,-25.80422557749965,-30.886263016681657,-25.55094790938368
140000,-24.544803797857558,-20.59125311913831,-25.894048171632633,-28.15823724017731,-32.29957148425959
150000,-24.575116448103813,-22.049697838318163,-30.639790591215377,-27.749601073588064,-25.59659034003601
160000,-15.843946165532364,-20.228253073442936,-30.450853375888567,-27.870479196529132,-26.96551516602312
170000,-24.656144360745586,-18.762763283366716,-31.21254165661494,-27.95177741332593,-24.59434044376765
180000,-22.952810883303126,-21.889775609409973,-31.436991267695532,-26.746792884587595,-25.29993012567423
190000,-16.882241121522682,-19.78964629917867,-31.14459743652159,-29.96632045337042,-26.185974187527826
200000,-15.36153693316556,-16.93334365750074,-31.240933146578914,-30.13756790171271,-36.684763285041576
210000,-15.614897678265262,-16.739654170211413,-30.308616974848174,-24.559634153711055,-26.168959491424133
220000,-16.249387421301098,-18.061754857302372,-28.126490629050426,-27.173559017138846,-25.451002909824442
230000,-15.350423165172353,-19.753430415245038,-28.067477244253283,-27.398740443654948,-35.19371828788971
240000,-15.170045917483781,-17.98239119024653,-27.941370580088826,-31.331706283809112,-34.127906822471495
250000,-15.262775824651698,-12.729059241427596,-28.028308696681016,-27.234923605191376,-29.901972275376124
260000,-20.823352822266013,-18.050498762325283,-27.97370358780227,-28.35867368771486,-30.73774252428303
270000,-20.76452100744934,-14.521281895490937,-25.173269528923168,-26.526409450641562,-27.002749594868913
280000,-15.596317151722618,-17.84133001696392,-21.220094045003172,-28.673285974547966,-23.272257257319968
290000,-15.685326646079927,-8.94026375882191,-21.480472476834912,-24.16498782106315,-28.76094901115483
300000,-15.301180795062747,-10.848614327672612,-21.995951108915897,-17.075706477904813,-51.65224337924306
310000,-15.945671704889234,-14.056322675661738,-27.76759007576574,-21.26001981905516,-37.788023140948845
320000,-16.089936734996858,-17.579015585954128,-30.136045615249632,-18.23546176765547,-33.6262806218073
330000,-14.854460512114981,-17.749313640044353,-29.860883049278957,-20.400366161403543,-30.988479505201617
340000,-15.486910650961244,-17.66178714661901,-29.121416976718542,-23.058661809209863,-30.423214553037226
350000,-12.272873765313127,-17.533078302039907,-32.007381920294364,-26.53633812535421,-20.97592668850819
360000,-11.846960739252076,-17.634809258262166,-34.130324350110506,-24.766727670015584,-22.150970544462197
370000,-12.751062697310694,-12.357055161646961,-49.48324751811017,-23.277826786076286,-28.174536697143584
380000,-13.507256283498549,-9.125435439376973,-37.713497127799236,-21.541063860597426,-26.119923631777567
390000,-10.232778866929626,-13.10120102351861,-39.078991584356736,-23.50390246500738,-25.436556018538926
400000,-13.348649668611525,-11.604329435669822,-40.90693124098272,-22.19347833189953,-26.516566931448033
410000,-12.673686404913845,-11.225255429557189,-31.204973784698968,-20.690997890097826,-27.136832713462976
420000,-13.489277236554958,-11.626855518093842,-38.43854320046629,-15.013496491543615,-27.261867067629105
430000,-10.287964999337358,-17.9268970565548,-19.055999543678038,-14.921229070690199,-18.982572567034584
440000,-12.83617432145575,-9.369078398392723,-24.209081957634055,-15.875018013612356,-19.267261205577068
450000,-10.46416125401758,-17.525170024053693,-27.132783724072134,-20.293920145523696,-21.362760284161666
460000,-10.634185278663617,-14.05442571874802,-22.774669938913018,-14.91558471749105,-23.555646614572467
470000,-13.820605650847464,-8.626393617023991,-23.629589250596997,-13.717469029648601,-14.76443744033898
480000,-10.53085345716393,-8.773319146128529,-19.730636663414586,-15.405395457015885,-18.719707087355232
490000,-10.711824698702104,-8.715996756171892,-17.13656618195121,-20.7136100285554,-15.172201914749634
499712,-10.668261395127702,-8.635819842143029,-32.1709185589923,-22.471504552900758,-16.173723095431168
