idx,Run0,Run1,Run2,Run3,Run4
0,-232.24490342070558,-89.40432907798537,-141.69343562734784,-199.81062818252727,-189.90331073367483
10000,-130.37715103775272,-114.03038240598897,-85.95625276232748,-98.98760262994328,-92.06305937346457
20000,-228.51274355462849,-245.44268076179648,-82.04718833543046,-159.95504907308705,-191.65332287518106
30000,-133.64923204457216,-224.34204159090544,-66.72191744616435,-131.86603510556026,-119.00424249545244
40000,-155.89688755827467,-107.75266241642132,-56.3822121828199,-72.13448812562638,-68.7181143740871
50000,-224.3321079493712,-76.14993503652269,-47.970185261305346,-50.525817438314895,-52.807964919777895
60000,-121.52267792876695,-61.67170996223101,-47.27077109428241,-52.30856651737599,-57.21404872466861
70000,-57.825128344656534,-59.88655684715662,-45.58299397378183,-45.89932015429767,-50.04828257458156
80000,-58.632117123183,-90.13463420606392,-43.93819279344317,-44.95654728191723,-55.15302013326779
90000,-62.60422267980198,-65.69014772293474,-43.750810891033424,-43.63597203061594,-54.940254679042646
100000,-55.58335058135596,-68.1441772482793,-43.44138992386961,-42.55093321116268,-55.18724007527692
110000,-49.27398124789675,-52.08409599903989,-43.72940692315744,-45.91925454318531,-61.208939506408996
120000,-44.783667819270825,-50.42388736010272,-39.97765568953058,-41.76835012276618,-60.908070989918315
130000,-43.35155319895465,-41.76428917712862,-39.637832474453624,-42.24792410794948,-52.38388938308728
140000,-46.0500089511883,-41.053197159175085,-45.512399503520406,-41.70947557915981,-75.4022243200381
150000,-42.24857931367985,-40.66657373169577,-41.24443504175843,-40.07531128408575,-73.92130359748528
160000,-42.33086092178127,-42.90922369970347,-41.00992027114424,-43.02871980775616,-66.27407275925724
170000,-42.47049365356441,-41.173610764049855,-40.97627395898537,-44.054267565472806,-64.16838792826495
180000,-43.25938969352744,-42.51284156132183,-39.176167236667496,-42.457539035334,-60.994155703188085
190000,-41.70751446025038,-41.10050616883707,-39.77930435384766,-40.22945100682467,-57.97926286634635
200000,-65.12085555952659,-41.024533120578944,-38.6533208599751,-45.93491545939098,-73.88136522423649
210000,-66.03669192880587,-40.946416521272724,-40.20375376721734,-39.129559129947275,-72.36195765590479
220000,-40.92012249389575,-42.71032790481115,-40.3722480523563,-39.69670861088014,-73.48739027911282
230000,-39.85312714202964,-43.03509949147944,-40.9712028774497,-38.8634454269103,-60.6941245265912
240000,-40.39738567469026,-41.94955488194295,-39.38208353874822,-39.062431731176254,-67.2934131786336
250000,-39.07726742861393,-40.55774660759079,-42.80355302544917,-38.43251192803821,-68.72561175245463
260000,-39.40765921704771,-38.20349076405568,-42.983173845056946,-38.50805710596474,-56.59606723283333
270000,-43.33552391878417,-64.07516581332916,-40.96626225847283,-39.41505691499353,-64.78650641814457
280000,-39.66730657125148,-41.9534737174329,-39.11156344191578,-40.65766202852572,-60.01933136134877
290000,-38.94176393625218,-37.29243735400612,-41.50213909557944,-39.554110059677896,-58.538164030523184
300000,-68.5205865540088,-56.21573426123341,-39.924776838916536,-40.98753140300338,-57.20287140010865
310000,-42.00370531716091,-57.57374863075446,-39.23148778939133,-38.669462744301434,-57.55275345491138
320000,-39.035733958908736,-39.30627248059571,-38.9945715029352,-38.4679107824913,-53.40262250611632
330000,-40.81345357418399,-38.786735531921956,-38.88455205888566,-40.10540926472493,-62.109018730525854
340000,-41.735169107840996,-37.28584152305064,-38.75945017833416,-38.479617194809855,-66.52451672565176
350000,-41.385793499445484,-35.7118441242349,-40.039974756248284,-38.47617872772689,-71.0880826806305
360000,-40.77966609937005,-37.946765825976236,-39.13525805056365,-38.004454915857075,-69.03374318998479
370000,-76.9992004153476,-37.99422746350998,-40.149496868269516,-38.07901663996079,-66.47400327739506
380000,-56.469716461909776,-36.58768814137586,-39.74039301110193,-40.632729287009425,-63.49716278344655
390000,-57.38661967686319,-40.552924643758395,-42.8130392847737,-36.5842532859249,-55.02474732654203
400000,-55.34756420532643,-61.317451068008914,-42.577790911246616,-41.70401458609459,-67.98565782487736
410000,-52.69427418928077,-58.787330951689604,-39.54319990274823,-36.77215375497384,-57.15283413407855
420000,-91.62093350088533,-37.46140309164926,-37.91677886198028,-36.672667075592635,-47.26261018402495
430000,-57.8993352944354,-37.47888028836836,-35.97872301327094,-36.93407983117322,-47.45991132631707
440000,-67.35509764572136,-42.99379515940849,-38.43515774655331,-38.83609002438373,-55.502518489485844
450000,-80.63196751747309,-41.98931803700667,-37.793963194352905,-36.744688653279155,-53.70808874759391
460000,-102.20654928492932,-42.73499566915039,-36.81059655575215,-35.8466286397688,-51.60649687388241
470000,-80.00198366545831,-42.08155594656953,-36.38633933974294,-36.214832881724426,-53.33801164678294
480000,-84.42924538255664,-64.68749249346915,-36.986386946692846,-36.53176149556652,-58.93205126015068
490000,-69.9175776947283,-42.09994067264674,-35.460371044340995,-36.42661603702275,-56.52734337688306
499712,-55.299339519703345,-41.629701211397936,-38.50606729843559,-36.72043464684916,-55.06883721177914
