idx,Run0,Run1,Run2,Run3,Run4
0,-204.5724391095788,-184.72123586935976,-159.1080359871299,-91.56145770252334,-158.6035050893679
10000,-147.58642794567274,-192.69972459845866,-157.52928494569684,-160.96824983508935,-143.5987810743327
20000,-184.13074838660802,-179.71135416408777,-178.48957182694994,-187.82662283133084,-185.88939324645142
30000,-173.8873925254485,-170.08463946945673,-171.22196172129313,-177.83813265126204,-182.40160751475995
40000,-171.5835851285714,-137.494113552965,-170.47650993524707,-167.0180069202898,-180.91087252834348
50000,-170.3390444106023,-126.35495796678543,-155.8127191098902,-70.12290545755783,-176.0553798578658
60000,-166.87649813699954,-116.62645058875115,-127.45666164543452,-86.50463772850608,-141.9977740281451
70000,-161.86008577213985,-85.07014112409165,-112.36897188033619,-64.90382600584282,-88.09034204184469
80000,-161.6336841404203,-46.12265736991862,-92.15527529020852,-56.28276296191127,-81.62903495698116
90000,-145.96010222258755,-46.63909938852027,-90.48503653216711,-49.58869235821825,-64.1892044077647
100000,-133.9661761162776,-36.87655276394468,-70.64236422646103,-46.528218465518584,-63.00733454696051
110000,-84.7957475064871,-33.689056682286115,-63.22508041125021,-35.178632025841246,-62.59728389613289
120000,-139.89137361515114,-33.42762911731541,-39.98130854134033,-33.62876162644941,-57.30858104199454
130000,-131.264113386944,-32.27344055772523,-33.472949324543436,-44.19568033292262,-53.73501449260477
140000,-104.85746066085478,-33.40209912487772,-35.28998430750091,-34.259120200509635,-51.273029204293394
150000,-103.78695858126726,-45.67474806438283,-34.954587535892216,-41.236978352037006,-45.30479073879835
160000,-86.44323063099209,-43.39095335125623,-35.62084680555245,-33.75055448755003,-31.432819524382957
170000,-73.65704106316863,-43.61293833090291,-55.49808019952328,-50.5247888958065,-32.1926779040846
180000,-58.14685287001523,-41.771542534811715,-56.47394537459959,-41.298905771237386,-34.08763143003041
190000,-46.363372017016744,-42.84000478792668,-60.40654111107754,-41.037507558978355,-39.61596618317922
200000,-57.49004893172459,-45.76216275150632,-55.33607555193611,-34.51310465637242,-46.814102105426066
210000,-56.79078536101118,-71.45294931950797,-57.62414286223654,-39.74381438460579,-34.08146647303093
220000,-62.864447807829485,-43.491078990287846,-60.953204266951154,-39.00764384903365,-52.71098432483289
230000,-73.8474553575839,-62.471297781920185,-58.928949236999735,-40.6208883252564,-56.46726209443468
240000,-71.53644062444616,-57.909210870489055,-56.16937107039915,-40.94160626418334,-42.6426786436037
250000,-63.49762729648556,-50.70129188412937,-62.96051506604055,-39.595405236501605,-43.769981907853094
260000,-64.2709823208585,-52.77891586834675,-55.006127926355624,-40.49092001576332,-45.127126995549865
270000,-67.39903134449072,-58.449788591010346,-58.45978874888704,-41.11789377356906,-53.504258568579615
280000,-73.17963027204173,-64.43540846098504,-65.82530456746669,-40.14128731323818,-54.980534634620184
290000,-53.01738701713377,-76.16036385347296,-45.661154259306755,-41.15291679045002,-54.271281313447574
300000,-43.46092861429088,-91.9381803586415,-51.65979146577255,-58.67194454906001,-50.756141004602476
310000,-48.09134722450391,-71.0978715642109,-57.67573514062801,-46.430062811906176,-66.94015022579838
320000,-67.35816570688134,-59.976417403406764,-51.78184658512647,-52.618755883768664,-57.28953269096393
330000,-73.00792273999562,-51.07875798859204,-43.358953288278556,-51.2577421262955,-54.507491772864235
340000,-75.72796864607923,-66.97062747586699,-48.03514582389694,-52.383436162166056,-65.87248039946827
