idx,Run0,Run1,Run2,Run3,Run4
0,-183.86940100901865,-176.95352353341622,-106.80313234517237,-173.8952662843938,-111.88272835715699
10000,-54.01811469165183,-57.752192396225276,-62.59901174456502,-57.93026768686915,-55.128114397209984
20000,-52.66816233955839,-43.64815263639335,-48.47342679512045,-49.62881746931646,-49.971888691633986
30000,-48.62955987927417,-43.0379100654504,-55.51397054515983,-45.78307782757101,-49.01524567346463
40000,-47.21190195993702,-42.48523392984843,-43.91650010001548,-45.815346644149564,-59.5232088265329
50000,-50.15227273212221,-41.55305295877119,-51.70616847354806,-47.18964314964105,-50.52141641337625
60000,-46.93934035997544,-41.35380242903348,-43.93219243329247,-46.57230344161576,-47.287648015949976
70000,-48.59673603803501,-44.19244410625178,-42.303397414026826,-44.7495269160474,-73.47008484561654
80000,-47.847061962909386,-43.27866221769607,-41.98258261140801,-43.87366787808025,-46.885982734168614
90000,-43.68187983836796,-43.32363648033585,-42.81079930422841,-46.745223620176496,-47.42223857259504
100000,-43.189122490696136,-44.789678530524704,-72.82567900693513,-45.908645854856246,-47.69040457772374
110000,-43.998499351420975,-41.63761077230972,-47.68629273731627,-49.27794526752378,-47.1980735569242
120000,-44.30500557715746,-38.593183109523345,-59.232483167017214,-48.05300074779571,-47.014200569695326
130000,-42.82851734922884,-39.10916219960073,-47.744270922823354,-48.18336334262108,-46.55429799051886
140000,-42.37320430105344,-39.061695655207316,-46.27019409104688,-47.43098284899011,-46.436140875535884
150000,-42.71674896998237,-37.4443623643546,-54.23340530825074,-48.281348868258,-46.952875765724166
160000,-42.92611894485784,-35.44612656976379,-43.51254087056772,-48.195788237949536,-46.903430807610256
170000,-43.242051615277845,-37.80087945784144,-46.62635203782106,-44.20649227007466,-46.78484535970416
180000,-42.793601661789396,-37.80186314864448,-46.764669515925135,-46.117980840436665,-50.0916702821319
190000,-43.12744361736678,-36.01637319368783,-75.29795837761937,-48.44577807053856,-46.40096546645609
200000,-43.115059602447026,-42.53360201810399,-64.95250500230335,-46.03458290069243,-47.14312469156941
210000,-46.21216109076115,-41.27430696971888,-72.33299682553813,-45.31885124083332,-48.78124074409787
220000,-52.26075244477075,-40.844646321073284,-72.27255361365354,-46.1050363176613,-49.2525756899096
230000,-47.92298827217917,-40.30265632483261,-72.23656441246234,-45.21614858861707,-48.156236164801854
240000,-47.77728085329936,-40.647197022821715,-73.05151223682768,-44.291664727194046,-46.83309636986674
250000,-57.424218803221834,-36.72684034445924,-48.10691563201419,-47.15078138702501,-46.25628520479011
260000,-47.70141350977201,-35.833494985796236,-47.876577840542275,-46.06613110732007,-45.64404663005352
270000,-47.38652073964976,-37.686984329594644,-43.24573671590688,-47.1514788641236,-47.008173701947406
280000,-47.659471979544286,-37.093208672531134,-72.37970714302872,-46.04600908617633,-46.99306168122117
290000,-44.27341854553526,-37.16463921107342,-72.60930656118937,-46.53587033087302,-47.15101451382475
300000,-44.62420514196035,-40.9585014367818,-72.5693672410806,-45.21323981220493,-47.23829906276719
310000,-42.70179664245463,-37.52420565438563,-49.742639134826725,-43.69476008491082,-46.88358016173
320000,-42.636574673285786,-38.87584392242088,-45.116443616618746,-43.65333950997971,-46.69946143011135
330000,-41.78101639832458,-41.730422788544516,-42.20139479088736,-45.4783607865575,-47.445771441114104
340000,-43.737992368912586,-43.179847835347005,-45.226331371003404,-43.803964567430185,-47.655173223586594
350000,-43.73003493700189,-42.22738058744541,-48.24524175698853,-44.00346660938114,-50.39153636553932
360000,-43.657557412722795,-40.99820707035695,-47.24619769201058,-44.08523331593969,-47.08084887873989
370000,-45.92771469354738,-40.46701466505042,-45.98748156639261,-43.99314820618734,-46.7045590368947
380000,-45.62931939092604,-40.35702146762032,-47.13378793299081,-43.591243951291084,-77.52675462564008
390000,-45.07183448740243,-38.83373745270874,-47.52175495775376,-43.27141233506153,-74.22683036829044
400000,-45.323204442244446,-38.21729588262556,-46.78396980558651,-44.80301912808828,-74.30112166017383
410000,-45.86395793630404,-38.02544126790617,-44.78766524991211,-48.7674912453742,-72.77394622767191
420000,-45.686645073283344,-39.456342302277925,-47.10080020373979,-68.66969303998977,-72.3240835241257
430000,-45.75332004813926,-39.63138740101236,-44.083587833966185,-46.98579568452628,-70.05894514618393
440000,-54.1560472490974,-39.29692441913971,-44.000257244876906,-46.07004556529519,-69.8738884754059
450000,-48.463639851243414,-39.26947873715077,-43.93982569890046,-45.34213973521138,-71.01210008737698
460000,-60.184049510703524,-39.31039708093554,-43.32842597400149,-46.79271517005893,-74.30065453807973
470000,-50.59914273552093,-39.46580238803593,-42.574468941679235,-44.71392701319769,-77.41909369666524
480000,-52.238714358533755,-38.409019705100846,-43.15879462573028,-46.06684329207808,-79.27203138745654
490000,-48.793897633476845,-39.211189732822184,-45.78345985339065,-47.01669609636901,-78.03700390952422
499712,-83.59116809251731,-40.726042131558486,-44.18922542364385,-46.25226152283503,-45.86303657560641
