idx,Run0,Run1,Run2,Run3,Run4
0,0.6666666666666666,1.0,1.0,0.7,0.8333333333333334
10000,1.0,1.0,1.0,1.0,1.0
20000,1.0,1.0,1.0,1.0,0.8666666666666667
30000,1.0,1.0,1.0,1.0,0.7666666666666667
40000,1.0,1.0,1.0,1.0,0.7666666666666667
50000,1.0,1.0,1.0,1.0,0.6
60000,1.0,1.0,1.0,1.0,0.7666666666666667
70000,0.8333333333333334,1.0,1.0,1.0,0.6
80000,1.0,1.0,1.0,1.0,0.7666666666666667
90000,1.0,1.0,1.0,0.8333333333333334,0.7666666666666667
100000,0.9333333333333333,1.0,1.0,0.8333333333333334,0.7666666666666667
110000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
120000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
130000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
140000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
150000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
160000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
170000,1.0,1.0,1.0,0.8333333333333334,0.7666666666666667
180000,1.0,1.0,1.0,0.8333333333333334,0.7666666666666667
190000,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7666666666666667
200000,1.0,1.0,1.0,0.8333333333333334,0.7666666666666667
210000,1.0,1.0,1.0,1.0,0.7666666666666667
220000,1.0,1.0,1.0,1.0,0.7666666666666667
230000,1.0,1.0,1.0,1.0,0.7666666666666667
240000,1.0,1.0,1.0,1.0,0.7666666666666667
250000,1.0,1.0,1.0,1.0,0.7666666666666667
260000,1.0,1.0,1.0,1.0,0.7666666666666667
270000,1.0,1.0,1.0,1.0,0.7666666666666667
280000,1.0,1.0,1.0,1.0,0.7666666666666667
290000,1.0,1.0,1.0,1.0,0.7666666666666667
300000,1.0,1.0,1.0,1.0,0.7666666666666667
310000,1.0,1.0,1.0,1.0,0.7666666666666667
320000,1.0,1.0,1.0,1.0,0.7666666666666667
330000,1.0,1.0,1.0,1.0,0.7666666666666667
340000,1.0,1.0,1.0,1.0,0.7666666666666667
350000,1.0,1.0,1.0,1.0,0.7666666666666667
360000,1.0,1.0,1.0,1.0,0.7666666666666667
370000,1.0,1.0,1.0,1.0,0.7666666666666667
380000,1.0,1.0,1.0,1.0,0.7666666666666667
390000,1.0,1.0,1.0,1.0,0.7666666666666667
400000,1.0,1.0,1.0,1.0,0.6
410000,1.0,1.0,1.0,1.0,0.6
420000,1.0,1.0,1.0,1.0,0.6
430000,1.0,1.0,1.0,1.0,0.6
440000,1.0,1.0,1.0,1.0,0.6
450000,1.0,1.0,1.0,1.0,0.6
460000,0.7666666666666667,1.0,1.0,0.8333333333333334,0.7
470000,0.9,1.0,1.0,0.8333333333333334,0.8666666666666667
480000,1.0,1.0,1.0,0.8333333333333334,0.7666666666666667
490000,0.9,1.0,1.0,0.8333333333333334,0.7666666666666667
499712,1.0,1.0,1.0,1.0,0.7666666666666667
