idx,Run0,Run1,Run2,Run3,Run4
0,-239.979307163594,-195.44611396965112,-213.38001213052448,-264.87458540969624,-271.35430977497447
10000,-92.63771783091703,-98.64631567844154,-133.96840127383751,-82.90355430823496,-98.62808554706312
20000,-115.61276288882269,-76.62418503887379,-127.88268311407101,-73.6102365588736,-82.36687940364853
30000,-151.97656344930712,-99.66621306410963,-74.13455706112852,-114.73079675294584,-62.94922096681686
40000,-111.38659786050538,-68.6809306685171,-116.17767447036701,-124.37087286152271,-61.32584484103221
50000,-157.0312878387657,-105.22741377086403,-86.9397522473922,-92.3394235885785,-86.08609373939426
60000,-111.05323769861756,-65.17381648258446,-147.99241742591568,-89.81555201884632,-75.7901130420047
70000,-135.62512976768193,-67.54922300727426,-125.18999504260644,-91.10824080566611,-68.60742215321126
80000,-135.95438626323875,-59.718254176431856,-105.55207554352273,-51.198182354496595,-68.07003849916228
90000,-134.52300684523755,-56.90495889088884,-59.17107806365252,-50.337775852984045,-65.15008618887957
100000,-113.92260263892707,-54.52902284855762,-55.97908290883489,-49.008374408800385,-100.36988038136296
110000,-139.78834960272286,-53.57555864223742,-53.84809774317691,-47.78619543307892,-103.18723658757115
120000,-130.64070352481582,-55.0327833269667,-54.19858173419561,-46.49626473537146,-83.14964745957337
130000,-118.96425530431698,-55.470435352343955,-56.92397855635199,-47.04293470940901,-101.17837912015831
140000,-112.3303973545751,-59.910165303373304,-65.79507532736962,-46.761838457246334,-99.9001348440466
150000,-114.11404836404503,-60.27827323479992,-77.36134264322571,-46.61763826204895,-115.01523861929995
160000,-108.06316055314905,-90.94756556890249,-71.92471864727948,-46.894952360811594,-90.00225323113334
170000,-101.50054584308326,-65.40361031207144,-57.54009005396662,-46.58118815880645,-84.71561808283464
180000,-106.04135978438093,-65.6351584776639,-58.33630800909733,-46.221015497951974,-97.55695962610372
190000,-106.62490394872795,-66.19973328496818,-59.91139172707442,-46.60843555593835,-121.66506410511384
200000,-108.10244937858285,-90.3186188678076,-59.07210118260182,-46.317081284328815,-113.55167366427192
210000,-108.00178681358473,-65.2243194547447,-100.6462552046694,-46.43939559603184,-131.78788874622583
220000,-117.19004909324059,-100.86423821338282,-65.44063839852998,-47.071022962830725,-112.24066052399581
230000,-101.37949024438099,-69.82265192579227,-93.35934476571849,-49.504960938547924,-109.70961315789144
240000,-105.83815727272557,-88.11848927544698,-81.31271692441108,-50.24060840083832,-91.53119580780145
250000,-149.83515251664085,-94.77452706191947,-56.87458803436106,-48.97153658068989,-87.69182285047467
260000,-147.95369797842466,-98.37608230077352,-57.760166958116045,-46.85503422573268,-88.61346840311629
270000,-141.88015725877614,-109.41884702057638,-63.09233169498295,-46.52936649772938,-73.38747545209705
280000,-170.42478488521448,-106.66443082522092,-54.58302098165711,-46.66737765989365,-88.42227018482721
290000,-149.90403519925513,-96.88830507002226,-53.37271935801727,-47.16373531420935,-85.69877599770082
300000,-148.7157860658213,-95.52173125488842,-51.535052875513394,-48.90317155619635,-86.64628588279828
310000,-141.18066406777098,-113.5734296505484,-51.08107942398262,-47.59309987508065,-82.67078094562208
320000,-138.97157194789636,-100.42111772570661,-50.20982208319156,-47.46023245747087,-135.49485841704964
330000,-134.12578211963418,-128.7654758396548,-50.27920132765467,-46.63886200259999,-115.23089515655904
340000,-132.99756337192565,-129.22861713920676,-50.763579337738115,-45.92834841740356,-115.01715502799576
350000,-145.11069472562397,-126.77503690014052,-50.324547075644155,-46.39865941865114,-114.62574256677364
360000,-146.58447373026874,-97.73436635593994,-49.88734528638984,-71.35972862493401,-114.61676846728226
370000,-143.25134168940028,-127.78037060711804,-50.842114272810456,-48.02074936689072,-114.85444512275977
380000,-111.87241602645847,-91.03939339402373,-51.29794102777462,-75.81247176943724,-115.26210853000451
390000,-99.99030660983394,-96.21412136790644,-49.032307520283055,-118.92725121900386,-115.2899489057239
400000,-104.45670277948993,-86.60590150491007,-50.3911927530056,-106.20020072332429,-59.91524082798499
410000,-138.70175973904318,-87.18075793092596,-49.80026635203487,-74.05554905760567,-68.12348912252027
420000,-105.47380747423563,-81.58399400904844,-49.866991615909015,-56.39260620738572,-68.36529713808788
430000,-112.70923450674003,-100.37972895442019,-48.6238444233019,-57.202215410770215,-67.51593160626835
440000,-121.58228985584532,-120.55865415058756,-49.69116159777846,-49.568184065849344,-67.66164871943441
450000,-111.85360291440763,-123.43490261516122,-51.88440210539326,-48.93831679856156,-67.17401526553648
460000,-102.66435099141546,-174.63062603056855,-48.30023931314516,-46.24538513009226,-67.77657188193307
470000,-151.90716010793201,-133.00930967538778,-50.07762210457693,-46.539810800442304,-67.65934043517272
480000,-139.8029642449895,-78.72890851944979,-48.362524684616965,-46.58293324294303,-67.31791319396055
490000,-141.65034502284706,-73.95669993283092,-47.863096241124616,-46.377838789111124,-67.42846391701748
500000,-149.11680640071395,-75.06549305958862,-49.3971588649024,-47.24815800583797,-67.084724801247
510000,-141.45660752834144,-67.4970908971274,-52.51384184843367,-68.54707633683181,-66.48668351518249
520000,-145.00632252297478,-55.254408102037374,-51.82642453669227,-75.49440751564961,-67.05331367905117
530000,-145.05676772510853,-54.670691823887374,-50.97325788436176,-70.47380267875657,-66.68839098401534
540000,-144.89615753483457,-61.61135102680942,-51.29633769626467,-67.29150909284243,-66.53773003245352
550000,-144.615014060472,-53.17406600926012,-51.20899931355678,-60.33526328283693,-66.50485000611532
560000,-143.3714257691465,-67.23549292407999,-51.02760783402725,-71.7594794403479,-66.30331979788404
570000,-139.9338597711152,-55.43100164079746,-51.139048605380076,-73.88813174499586,-66.47136567870483
580000,-142.21146337295852,-66.9691293319469,-50.90417744780768,-69.75219102683728,-66.68546113656676
590000,-142.99221826318808,-53.57307882488589,-51.76773771428077,-76.15997153366928,-66.11693619960066
600000,-140.09608331670455,-53.89995609991522,-51.828522652136186,-80.43728904125335,-66.10725814288354
610000,-138.50024330004865,-54.09613440389727,-50.63830865154255,-79.59195909153507,-66.69248657272327
620000,-138.42484853231176,-61.105798275968255,-50.196139979501126,-84.95938273979995,-66.1729249852431
630000,-144.76036394739313,-57.909598124097975,-50.76081742062124,-91.13716331392276,-66.28855365392273
640000,-145.81390310243907,-59.63496340065906,-50.7593232667907,-82.95593403000439,-67.04997589619853
650000,-145.35962263064954,-56.92309639144442,-50.75290722210263,-65.70645869337856,-53.06555993894518
660000,-147.79570573672945,-74.9759754705748,-49.674920917903734,-66.62710844640016,-65.50916273336784
670000,-148.36689680510509,-105.72251698973001,-50.270806485816166,-61.99522679937866,-52.33419182191553
680000,-125.58760694327356,-105.69567093876266,-50.357818349987944,-65.95290452108883,-65.45243139994406
690000,-121.13782022278784,-116.60266380871013,-50.67277020729208,-98.72880025998819,-52.058874720234265
700000,-119.0937903617843,-121.47718352574783,-50.15606155396438,-68.15646779418417,-55.93153035136609
710000,-119.26717130497643,-104.81902446930981,-50.20450365686564,-68.3229065082703,-52.364343999771215
720000,-120.73456011831986,-115.99156316808973,-58.108575835365144,-70.26582904550855,-65.66896225246954
730000,-122.56743781922101,-102.04964524583046,-57.337423601484716,-90.39371701566506,-65.87933742180593
740000,-123.42630027949636,-76.02323876059332,-49.7772613756473,-77.24337925404316,-65.52670788592027
750000,-121.07586188783262,-64.34222428233358,-49.88865217552095,-50.19671944774154,-51.5451976081123
760000,-121.37519357791247,-69.40095154422512,-50.16599343622286,-50.58852325413964,-65.24428480603314
770000,-121.12149594747765,-102.37944099157757,-58.01588650679423,-103.03424706459074,-65.05779977371667
780000,-122.71430842656699,-77.29229728034844,-50.311390128856495,-61.76871328101935,-65.27223432343321
790000,-85.62067554744117,-84.967837417837,-50.711676944139164,-63.054494257677824,-51.50967311182936
800000,-84.904604629259,-80.56483310241283,-50.06921302133197,-60.294228679202554,-51.646440217967324
810000,-85.13607226387994,-57.16408319028754,-50.44039227413136,-98.23062033179534,-51.324435986546476
820000,-124.10578777280391,-71.32600986373521,-49.8931042876897,-104.75047981373699,-51.76076224646974
830000,-83.91921811490516,-70.62938217973205,-49.754295748135824,-99.4067707199579,-51.15079395135218
840000,-121.70374281375743,-102.45909846826746,-50.05979879430932,-108.55424377252406,-50.951339213219704
850000,-68.75950076549121,-75.51177765090516,-48.76373785326601,-107.47467674849192,-51.16588572868048
860000,-67.93011581497362,-74.37543602477119,-49.142729448961695,-64.82874650257055,-51.361179677819074
