idx,Run0,Run1,Run2,Run3,Run4
0,-256.72042241728843,-181.6149323010842,-270.7752947047913,-199.79118475280683,-190.59250908203595
10000,-76.34002177138946,-87.75144739337723,-90.13675155331084,-124.98475143100288,-128.8362214305973
20000,-65.47988738654449,-67.5647579037174,-82.0547109686458,-152.29925962833306,-141.25194441840483
30000,-62.57272288712553,-61.93712777762565,-66.17131484222712,-116.75718208453824,-176.3534295784712
40000,-60.137979816739325,-57.750055053015146,-109.43585554079907,-80.94992223155424,-133.98590243707974
50000,-60.63270168097909,-76.15214166334475,-104.7278225907847,-132.05482024781602,-130.26652395229837
60000,-57.921089033096855,-76.5330820008346,-113.49030225422742,-78.36670002425676,-112.07036829392695
70000,-59.13489766673428,-82.36034223098498,-70.0314717448019,-67.56244750111684,-116.88163453869122
80000,-55.39263861672957,-60.2990340268334,-76.76111738476499,-56.9634564440722,-105.09445023854957
90000,-53.677599663996695,-61.95136717359925,-72.52804024309583,-54.72888960030951,-118.24887722354285
100000,-57.57516543655151,-59.33184987426672,-58.993325222049954,-53.55871572643562,-136.37070632959927
110000,-53.04844476464105,-60.63116456725347,-58.35225703351774,-53.41717673836567,-154.36137262207393
120000,-50.44285010353721,-60.47696286396804,-58.1550838899591,-53.08599208930962,-137.6840002534095
130000,-53.24364335841433,-60.98058732717789,-57.25489502985109,-53.4627763102371,-140.56625395889893
140000,-50.08378668421471,-65.86260844545136,-55.52950665956817,-53.670146986207754,-118.51279014221606
150000,-49.153198007775806,-61.29227706154198,-107.98566813714284,-54.3912080520417,-116.96659670775716
160000,-50.90006708505014,-72.30025069206765,-57.405295829237126,-54.67064212071622,-199.8492777686209
170000,-53.53854514582565,-81.37847547849698,-57.20844581405507,-54.76705037741844,-101.48248676663474
180000,-52.82943946847281,-79.35729979536686,-69.76688398634546,-54.718763404148504,-85.24786290980157
190000,-51.27690016742812,-81.44782311898435,-55.22857231546136,-52.23208475475873,-86.23151590125636
200000,-50.950977175753884,-89.75699898875365,-53.79265388003984,-53.57548902191903,-91.82854940714054
210000,-52.4402389672013,-63.072659375404285,-53.076002588543226,-53.64622610146013,-87.38197055774377
220000,-51.65569803550458,-72.37448860674114,-68.41252398540128,-53.52724294019137,-87.73527371342506
230000,-53.428323295980945,-100.57924506412668,-68.98353392203998,-54.406172581999165,-84.7627381508791
240000,-52.90214242815511,-114.72024077371353,-69.25937376503855,-53.330234669487844,-88.41188174353628
250000,-53.93916955542135,-98.79449830605539,-70.22435758671,-53.17842311969921,-87.93935709034379
260000,-66.05604994870338,-92.48870316181723,-72.60886220684061,-52.62724323020387,-79.77360048324616
270000,-61.34541926095771,-89.69607922670232,-79.236469531146,-51.76492678505151,-80.25480638908692
280000,-62.372526388460784,-86.09379541817268,-80.09918274561645,-52.12871366452502,-85.49020634893232
290000,-54.26152604021093,-89.43992237573454,-77.27973373389779,-50.4555411099075,-82.3015693383723
300000,-54.17884567759082,-118.37264792306402,-94.53085886434211,-51.20774252773102,-91.26686194210521
310000,-54.011910627004,-95.06923055057317,-79.47591963846011,-51.49102879281548,-80.83795265284712
320000,-52.737073503131306,-89.08003770966859,-80.93474159161794,-51.55097632110916,-89.30529646036307
330000,-52.47773791213332,-90.13841658143798,-96.18591262751066,-52.611168977403544,-81.6689078072014
340000,-52.27229761069713,-108.00361201344052,-80.93890109633475,-51.051966179291306,-88.82739726402818
350000,-52.59904959152386,-103.3104651026388,-79.16405254502804,-50.482338442442206,-82.32941197105794
360000,-53.32372431103958,-102.73324736797925,-78.71447391089512,-51.78960659087861,-80.02180867884292
370000,-52.91323179921536,-103.60337539918416,-80.24701345531028,-51.395938627091695,-80.8079279709214
380000,-53.75544517026895,-102.94975160064772,-79.38609862277153,-50.53709839350486,-80.83658090016664
390000,-52.92327938952956,-106.77347749801496,-80.16596321135573,-50.49262022507482,-80.00823507070325
400000,-53.26396506450889,-87.22623774447533,-78.94901337385038,-50.73538355024639,-78.36438169590785
410000,-52.95395244277473,-82.68656168799878,-80.21796711671453,-52.996663062107686,-77.6714057214717
420000,-53.640261353590176,-123.90560742801839,-83.44264245719592,-52.78013297669424,-77.6350527879476
430000,-56.55441446729048,-123.45584591836523,-84.29301584777882,-52.842451587015844,-77.72001686562758
440000,-54.341322658537045,-99.00660426092895,-84.34530369589355,-52.274266473787506,-66.01378233236211
450000,-53.594593471246974,-89.8133704423092,-85.54951086749544,-53.458115974703425,-62.852114061430264
460000,-53.23796464109263,-102.0890419536353,-87.0269796714467,-53.25676530115958,-62.88940194835297
470000,-52.701508085542365,-83.46245695814201,-86.23937675022168,-52.11570355758486,-79.42692012827392
480000,-54.83022900280189,-99.68210661963143,-86.04857560029656,-55.49989245355118,-78.26053372372301
490000,-55.923646090961064,-99.79243044417518,-85.94942566998193,-55.585585371415,-83.00955025536473
499712,-50.92028102505694,-85.0821499446664,-83.56036456695249,-53.742815973861674,-78.35027785313171
