idx,Run0,Run1,Run2,Run3,Run4
0,1.4210854715202004e-14,5.684341886080802e-14,2.842170943040401e-14,34.24961737427178,42.268848188391495
10000,5.684341886080802e-14,5.684341886080802e-14,8.526512829121202e-14,24.713898269691153,37.597501184741
20000,0.0,5.684341886080802e-14,2.842170943040401e-14,40.983124343901714,26.451776883757987
30000,2.842170943040401e-14,1.4210854715202004e-14,4.263256414560601e-14,38.636224008685495,63.537986110865305
40000,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,49.57562783729994,82.65083873596643
50000,1.4210854715202004e-14,4.263256414560601e-14,1.4210854715202004e-14,48.56460203452505,68.21434674922465
60000,1.4210854715202004e-14,1.4210854715202004e-14,4.263256414560601e-14,41.64120119565155,65.06174285871523
70000,7.105427357601002e-15,0.0,0.0,28.1751294323312,59.83168449064599
80000,7.105427357601002e-15,7.105427357601002e-15,1.0658141036401503e-14,6.352804688028354,56.75173050258247
90000,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,6.601650924931301,51.699342330125695
100000,0.0,5.329070518200751e-15,3.552713678800501e-15,19.60899153723516,41.92897953981781
110000,0.0,3.552713678800501e-15,1.7763568394002505e-15,19.186394845993608,6.182370157993914
120000,3.552713678800501e-15,1.7763568394002505e-15,5.329070518200751e-15,15.760180854391994,7.267577742444022
130000,3.552713678800501e-15,1.7763568394002505e-15,0.0,12.04443804724117,7.398439129451182
140000,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,14.700474103515422,22.820683979933587
150000,1.7763568394002505e-15,5.329070518200751e-15,1.7763568394002505e-15,20.930925303722926,17.29326184566668
160000,0.0,1.7763568394002505e-15,1.7763568394002505e-15,23.720896265526534,18.28791361032203
170000,1.7763568394002505e-15,5.329070518200751e-15,1.7763568394002505e-15,27.15792390506415,19.73371243897234
180000,3.552713678800501e-15,3.552713678800501e-15,1.7763568394002505e-15,28.407281958613257,25.745836053582213
190000,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,26.89267126352719,24.181502176645722
200000,3.552713678800501e-15,1.7763568394002505e-15,5.329070518200751e-15,26.863018111849566,24.94216391536958
210000,1.7763568394002505e-15,1.7763568394002505e-15,0.0,22.48355361946661,24.043179024384877
220000,0.0,1.7763568394002505e-15,1.7763568394002505e-15,26.14997032082295,18.978900195225613
230000,3.552713678800501e-15,0.0,1.7763568394002505e-15,22.686175144196113,18.212026663717122
240000,0.0,0.0,0.0,26.18785448247769,20.746988745295972
250000,1.7763568394002505e-15,0.0,0.0,25.088836367861017,18.775845636848544
260000,0.0,0.0,1.7763568394002505e-15,30.0875991383058,23.971586774539933
270000,1.7763568394002505e-15,0.0,1.7763568394002505e-15,26.386341784057777,19.699978763604317
280000,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,27.904882468464393,21.457268253354812
290000,0.0,1.7763568394002505e-15,3.552713678800501e-15,26.422466997514658,23.82383940415178
300000,0.0,1.7763568394002505e-15,0.0,20.782145087616662,19.85506526965297
310000,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,22.43249406843684,17.248267968676778
320000,0.0,0.0,0.0,22.30473444705027,22.936663987762817
330000,1.7763568394002505e-15,3.552713678800501e-15,0.0,16.186725732999694,16.432292648608072
340000,0.0,1.7763568394002505e-15,1.7763568394002505e-15,21.752663574606462,7.118714121751521
350000,0.0,1.7763568394002505e-15,1.7763568394002505e-15,24.69084134983752,17.51943561303419
360000,1.7763568394002505e-15,0.0,3.552713678800501e-15,22.555000394708795,23.078873496241766
370000,1.7763568394002505e-15,0.0,1.7763568394002505e-15,28.012810907137734,26.345091355589023
380000,0.0,1.7763568394002505e-15,1.7763568394002505e-15,21.40409477043619,21.67495246728561
390000,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002505e-15,23.587381589314667,20.379221684930506
400000,1.7763568394002505e-15,1.7763568394002505e-15,0.0,27.496019947521674,15.129127920117778
410000,1.7763568394002505e-15,3.552713678800501e-15,0.0,27.19529481074095,24.181623609398965
420000,1.7763568394002505e-15,1.7763568394002505e-15,0.0,29.144323438352576,27.714770818937126
430000,1.7763568394002505e-15,1.7763568394002505e-15,0.0,29.45390512066578,24.136453666979122
440000,1.7763568394002505e-15,0.0,1.7763568394002505e-15,26.894290142820974,23.065471261771258
450000,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,28.057231159729923,19.182721163631903
460000,1.7763568394002505e-15,0.0,0.0,31.841143047706563,21.029509631806015
470000,1.7763568394002505e-15,3.552713678800501e-15,0.0,23.863270260575277,18.28063326274447
480000,0.0,0.0,0.0,23.205345641890144,20.86145566240402
490000,1.7763568394002505e-15,0.0,0.0,28.463898891848935,20.221130968543875
499712,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,28.602787923680474,26.13209332592166
