idx,Run0,Run1,Run2,Run3,Run4
0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0
40000,0.0,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0,0.0
70000,1.0,1.0,1.0,0.0,0.0
80000,1.0,1.0,1.0,0.0,0.0
90000,1.0,1.0,1.0,0.0,0.0
100000,1.0,1.0,1.0,0.0,0.0
110000,1.0,1.0,1.0,0.0,0.0
120000,1.0,1.0,1.0,0.0,0.0
130000,1.0,1.0,1.0,0.0,0.0
140000,1.0,1.0,1.0,0.0,0.0
150000,1.0,1.0,1.0,0.0,0.0
160000,1.0,1.0,1.0,0.0,0.0
170000,1.0,1.0,1.0,0.0,0.0
180000,1.0,1.0,1.0,0.0,0.0
190000,1.0,1.0,1.0,0.03333333333333333,0.0
200000,1.0,1.0,1.0,0.0,0.0
210000,1.0,1.0,1.0,0.0,0.0
220000,1.0,1.0,1.0,0.0,0.0
230000,1.0,1.0,1.0,0.0,0.03333333333333333
240000,1.0,1.0,1.0,0.0,0.03333333333333333
250000,1.0,1.0,1.0,0.0,0.03333333333333333
260000,1.0,1.0,1.0,0.0,0.03333333333333333
270000,1.0,1.0,1.0,0.0,0.03333333333333333
280000,1.0,1.0,1.0,0.0,0.03333333333333333
290000,1.0,1.0,1.0,0.03333333333333333,0.03333333333333333
300000,1.0,1.0,1.0,0.0,0.03333333333333333
310000,1.0,1.0,1.0,0.03333333333333333,0.03333333333333333
320000,1.0,1.0,1.0,0.0,0.16666666666666666
330000,1.0,1.0,1.0,0.0,0.0
340000,1.0,1.0,1.0,0.0,0.03333333333333333
350000,1.0,1.0,1.0,0.0,0.16666666666666666
360000,1.0,1.0,1.0,0.0,0.16666666666666666
370000,1.0,1.0,1.0,0.0,0.16666666666666666
380000,1.0,1.0,1.0,0.0,0.16666666666666666
390000,1.0,1.0,1.0,0.0,0.16666666666666666
400000,1.0,1.0,1.0,0.0,0.16666666666666666
410000,1.0,1.0,1.0,0.0,0.16666666666666666
420000,1.0,1.0,1.0,0.0,0.16666666666666666
430000,1.0,1.0,1.0,0.0,0.16666666666666666
440000,1.0,1.0,1.0,0.0,0.16666666666666666
450000,1.0,1.0,1.0,0.0,0.16666666666666666
460000,1.0,1.0,1.0,0.0,0.16666666666666666
470000,1.0,1.0,1.0,0.0,0.16666666666666666
480000,1.0,1.0,1.0,0.0,0.16666666666666666
490000,1.0,1.0,1.0,0.0,0.16666666666666666
499712,1.0,1.0,1.0,0.0,0.16666666666666666
