idx,Run0,Run1,Run2,Run3,Run4
0,-273.3061954464585,-299.23326136056113,-236.55019120087456,-259.7781243537541,-220.99250812962492
10000,-142.97599749113354,-349.36243099868494,-176.54438647842952,-168.5687044153741,-86.36739196198288
20000,-304.16726665683257,-300.1057176957204,-216.81301354359104,-93.53036079040474,-70.17632301023059
30000,-64.67333462321714,-67.83276594050805,-200.89215106371958,-123.23032001775259,-86.81615188507547
40000,-53.59092419877446,-60.05487179592213,-66.52571491738539,-113.70194149934346,-61.39696467273173
50000,-54.68212366500643,-52.83764399752458,-53.65638512654565,-99.48302275171203,-64.68032060891032
60000,-51.96352366689577,-47.83679978200101,-49.56530048742291,-62.41281717191568,-63.70438036704724
70000,-50.8897218707468,-47.3395844503989,-47.02586262480023,-60.40756230232156,-72.68901729414843
80000,-46.773340887837,-52.19910648934037,-43.59610417010006,-58.747640819284854,-116.29854487140237
90000,-45.68877303750602,-61.87435459229399,-41.54876588229224,-59.78754740703198,-114.35642893363192
100000,-43.32846938485909,-283.0590291861287,-40.464044618482376,-54.81260092657778,-113.41305937581747
110000,-43.5566763019297,-281.3666469348179,-39.7048407712737,-53.50756329655239,-115.31643685030029
120000,-44.50574324161241,-277.65199123182055,-41.21964109721063,-52.78620965389543,-103.55503222146444
130000,-41.70634920827362,-277.00578340351706,-40.78905611135956,-52.0054059737187,-103.20727736428768
140000,-41.99082908548821,-277.7155880763612,-41.23697784446895,-52.3131732936887,-104.36485093628947
150000,-39.02379729668204,-280.51177096546934,-40.08896082763455,-52.82945240129013,-124.64300291782631
160000,-36.44930268764037,-280.8172302796135,-40.80640283482191,-52.905024647901186,-125.75726969823141
170000,-38.6168187132873,-274.07300412330085,-39.659736347762404,-52.75095508195839,-125.67650110934352
180000,-38.25290002639258,-275.65542553736094,-39.12952094037691,-52.22159381642292,-135.56733259220326
190000,-39.87753974505179,-281.09896176651716,-38.921984770705116,-52.34448338488229,-141.54342132611112
200000,-42.192198980480015,-275.8728923118768,-38.64416719654567,-51.97147156887664,-127.29021770332847
210000,-40.53353432101033,-272.3980424758244,-38.42384984390647,-52.166688793055954,-126.34969939513455
220000,-40.23546713767181,-271.4354244639537,-38.36301434225564,-52.13231002588314,-125.66253300552007
230000,-40.3800059801428,-269.92408081684454,-37.6819689750895,-51.516157793933395,-126.06656763966495
240000,-41.10723438932197,-55.78631524439041,-38.34044288995394,-51.91158350826019,-126.74008182748493
250000,-41.342207411353755,-260.86066356109404,-36.98495797495505,-55.684038329785174,-176.11823343083236
260000,-41.079537219979095,-261.75385420593005,-37.44415112510111,-52.67859526469863,-175.80420955244074
270000,-41.05412156344461,-258.764912448477,-37.435257905020215,-53.77313031994083,-125.8368857623459
280000,-39.516535993668,-258.07885475977554,-36.5199909099587,-53.82612492577609,-125.08967097338125
290000,-39.3714600574875,-261.6038103597856,-37.135546697714744,-53.18210204917562,-124.59913602110079
300000,-41.90351500804065,-260.3259917388957,-36.54433586070452,-52.88034522464594,-124.64039813929676
310000,-40.19989567382154,-266.0401095035311,-37.20854833374683,-52.17479715771029,-125.32610727093099
320000,-39.36667651759304,-266.81589696104214,-36.072025748984146,-52.856840261226665,-124.9309469792913
330000,-40.90584475943659,-269.9051542671553,-36.66768753965469,-65.83825661926646,-124.07629285522697
340000,-41.70488296531819,-268.87729985874864,-36.71097311110342,-67.59372153774883,-123.53509173218823
350000,-41.88802512614241,-267.948199734916,-35.81155500092997,-61.70041613443978,-123.55775287148681
360000,-42.54042342890941,-268.19863141114195,-35.69743130988954,-59.54088781078973,-124.02479176707901
370000,-41.39411651385663,-266.6274348243794,-35.40173496968102,-66.26268055876056,-123.84172407008533
380000,-41.90775421186965,-267.03203558311424,-35.10424666341665,-65.89639498985825,-123.07745070752047
390000,-42.30123202747062,-267.8330381259283,-34.974044001479754,-66.16419898455946,-123.59551781393613
400000,-42.28470285833216,-266.892484705519,-35.041445525200494,-66.31054643752088,-123.78750142551237
410000,-41.47780808057444,-268.2630217873454,-35.26620255397146,-52.55242462708816,-123.4738398928815
420000,-40.32369818150764,-266.927140635572,-34.516853489243786,-63.31805323623678,-125.60631785864112
430000,-40.12900656917629,-269.89254528128106,-34.870702386199255,-62.274274040856234,-125.08589110608487
440000,-40.22738806980965,-271.87736574785663,-35.16578747800213,-62.368800779276675,-125.87826923644586
450000,-41.78536056019679,-270.81080114875834,-35.144804757675956,-50.806486574706064,-126.23226599241018
460000,-42.05841521133992,-272.22837562304613,-34.96460777771891,-50.187093673269516,-127.24434545711553
470000,-40.66030088854287,-273.66599102955934,-34.72495819956802,-50.3913892968992,-77.11686044179109
480000,-40.83064195986067,-273.98476060778955,-34.27518718255889,-57.34454770955936,-75.76787509497042
490000,-41.83101163239092,-277.01151697979805,-34.363341252920016,-55.71963921580086,-77.11169134002706
499712,-40.47777072914288,-279.1029350099961,-34.408424350878065,-57.41220354494497,-85.24122848813138
