idx,Run0,Run1,Run2,Run3,Run4
0,-251.89215675410767,-245.0973702290669,-180.08224905644363,-232.81013650301895,-184.19207423059188
10000,-132.38898330983335,-135.18453844786765,-109.25700562324667,-218.3869319906673,-106.26578380076771
20000,-117.96299979787486,-158.20639598832295,-116.60455535837082,-188.10650435595662,-217.2577407882377
30000,-73.25088954060024,-165.56364721299408,-92.85627308668221,-156.9134335186082,-126.32788337952962
40000,-72.24550690987937,-123.99537693474804,-56.69446539139468,-89.57884789232534,-71.87945352878842
50000,-55.929038615260986,-85.23789839825076,-55.52207167579622,-55.88029619814878,-55.07300063687839
60000,-60.69406663042041,-93.17053951060889,-53.75226995800762,-52.86889319239347,-56.17104125980651
70000,-52.3017493368237,-88.24408643386093,-60.19725904199016,-53.84654210923944,-50.743724898225814
80000,-51.078605697588685,-85.59037672790025,-53.723049701126094,-48.82436201195473,-51.36599480745202
90000,-50.919385421526535,-48.709760378140736,-56.189402668063,-42.84419142911353,-47.5050035515526
100000,-50.46996732699222,-51.88715704079696,-52.668840909891145,-49.22586534418021,-51.07277640439185
110000,-50.652558685982534,-48.816617927677946,-49.451110674994624,-48.84755444753399,-50.208118285327394
120000,-50.74831596631045,-69.72057275207591,-51.328957491398405,-50.42791125549852,-50.77870271641779
130000,-50.63468463677132,-50.5855971101646,-57.418948848673,-113.5099840471708,-59.265148081040664
140000,-51.13754040848574,-74.33347435881315,-46.921283902597175,-112.52709183229099,-48.990440042013326
150000,-52.779961211364096,-54.16826836225693,-46.406897793321946,-91.58936689741674,-49.39821656368214
160000,-51.99841683114676,-49.38197761756621,-55.90149038949106,-108.35362102907065,-49.563003118387336
170000,-51.965427159702216,-50.13354922958959,-46.29835635103692,-106.6672147877754,-47.51866840474415
180000,-52.07842426772645,-48.55361987740985,-45.733931688414685,-108.93355488741382,-49.114282952458716
190000,-52.153466251391116,-47.389506563107155,-45.42770749806549,-107.92193221660752,-48.55118828911893
200000,-50.48644256200744,-47.91332139792213,-45.381915461752556,-116.46332308044997,-48.3311713723031
210000,-53.4725968577565,-58.585072299691866,-45.118309202423504,-110.39525907023535,-47.50603226279508
220000,-53.97370664996115,-47.03619012949212,-45.41635436872151,-131.2531127072737,-47.46383648427101
230000,-49.18187853101248,-46.88544209385262,-45.75830176842435,-128.5530180396859,-49.43744440504961
240000,-50.642778269055256,-47.71650458972587,-46.04185759602607,-114.60228575738876,-45.689561441986605
250000,-50.92344784866404,-46.9801362849727,-46.86971053913857,-66.46973053379527,-48.76086363837996
260000,-51.35674545645669,-48.105842540450816,-47.401513542374076,-49.417949742980795,-46.68901436516641
270000,-51.27836376149325,-65.42312191494207,-47.31127172282985,-91.60717140445011,-47.65692547217437
280000,-51.25002682890614,-49.026971946719776,-48.073509907378046,-72.03778014870043,-47.858049046776294
290000,-49.10078442880636,-48.46742089359722,-47.81402706102571,-122.63295089079996,-46.2375492107875
300000,-50.57235933363295,-47.664318187249044,-46.877045979035714,-50.08000804510926,-47.50265337783154
310000,-51.016082545097966,-64.38042438042545,-47.4644689922642,-77.87722598332276,-47.18679837080954
320000,-49.45120756290893,-49.277474298238936,-47.19075434419995,-115.00117040341303,-46.85572384010196
330000,-49.54441896714287,-73.25373905367653,-46.073902131033414,-46.93064777821689,-44.58398916960448
340000,-53.20877133892289,-72.77294261608223,-47.55190048656486,-68.1683980671249,-46.047283237370884
350000,-53.535108546698,-67.43181187555807,-47.4275334188285,-57.015471993311124,-46.07636288362069
360000,-53.11260055482447,-82.41789599644719,-47.79348145941296,-58.211985388384825,-46.73499519314885
370000,-48.815304969514415,-110.7563042223825,-48.4655180713241,-71.80093460677143,-43.459695623406986
380000,-48.92239852219677,-82.55648460521095,-48.126350542898614,-72.09659972427592,-45.481028126346665
390000,-48.7404462900977,-71.34784604899801,-48.05622377420318,-70.34859986136341,-42.66491364221877
400000,-49.226564549118535,-99.26612201916139,-47.4388913487552,-58.37660575046364,-43.825493657409694
410000,-53.72578772520454,-96.26031247601684,-47.65663562774886,-58.90800007329959,-43.41453312675614
420000,-55.521812624841544,-114.76998819510949,-47.89705289515259,-58.857412102132294,-43.20321263293397
430000,-55.820211292143576,-74.19556999139905,-47.59407342778172,-72.23038806005844,-42.801638113973056
440000,-51.64697276461319,-94.00048249494274,-47.86821177214915,-70.90450968356635,-42.64023647155247
450000,-64.49711299312277,-72.21642125797605,-47.41436926881703,-73.88900917379028,-42.12962501895091
460000,-62.44777644427024,-71.75210063642211,-47.84740327800994,-59.745258869108056,-42.774279018771495
470000,-51.7237129405467,-71.31830346963015,-47.41001056913189,-104.67497680308138,-42.55011010853424
480000,-63.96390330292152,-71.33163278792576,-47.792651498366226,-60.25116140520916,-42.31210595036455
490000,-66.19031425298841,-70.71387370500162,-47.01797114219036,-58.26444163429103,-42.36905530616372
499712,-63.32997819468086,-71.1753285017496,-47.60418723741418,-75.4165803498411,-42.71010944041778
