idx,Run0,Run1,Run2,Run3,Run4
0,-183.86940100901865,-176.95352353341622,-106.80313234517237,-173.8952662843938,-111.88272835715699
10000,-71.38393204459358,-151.46216896616085,-61.86020668040091,-130.65582420706272,-89.4354498633424
20000,-128.8699533609629,-129.9909488740286,-69.16237755263903,-183.17170792664447,-141.11476401375887
30000,-115.82558294588479,-142.3518726213827,-49.50163096910437,-161.82613458602182,-112.00568130431398
40000,-50.9916899782061,-121.92204428685737,-38.50924820710439,-109.36550150566079,-106.74124450440394
50000,-41.919670618807466,-83.5712664011276,-35.15485176227741,-48.39681439574619,-94.09116019960976
60000,-34.36171703586677,-35.33602527634566,-40.198462951973696,-41.611594977782836,-80.82753599471599
70000,-33.276892085809635,-34.87020486947767,-37.883660158585904,-49.52031879900346,-76.18293903461866
80000,-35.27857415430706,-33.98965130491537,-34.92044985625657,-68.54419941288386,-38.978622341914345
90000,-29.339652553432625,-32.30798843656708,-34.417192753986996,-79.42797267502229,-38.29063518724731
100000,-28.835668713071943,-35.450659062795935,-31.444303057285612,-78.92357805771732,-37.86442600987932
110000,-35.05097276249982,-35.819957004096885,-31.649395776171346,-67.63431432493374,-35.99796410942231
120000,-36.56048893647941,-35.78131303766255,-31.40657162747142,-52.93014798027322,-40.48627840763489
130000,-36.53329964572019,-35.05287167820729,-33.939800311906566,-106.3957544632522,-37.77391861079855
140000,-36.11124473119825,-34.770392553302024,-35.032446971343354,-76.2735551613411,-35.878589632811625
150000,-36.327626080646624,-35.56938813423355,-35.092705206319714,-99.30837823908884,-34.55840698849691
160000,-36.51031216163198,-35.04346267321594,-34.371558412787174,-98.6506997932264,-34.29568362896853
170000,-34.871012609494464,-51.56368147074694,-35.212598497745866,-94.466798092705,-36.57253048636175
180000,-37.00823521263962,-31.423301050261614,-34.26810120010954,-100.01872056278691,-28.37847950081167
190000,-37.19963786622535,-37.10191643703052,-33.452390049227816,-96.79989760124899,-37.577063696922735
200000,-36.58272118505817,-40.824147488203835,-34.33946992060947,-94.4033627653629,-40.66503069648352
210000,-37.65838535192424,-28.152789249204268,-32.82933399634491,-98.83010670529431,-80.70875542781846
220000,-35.472932161837555,-35.277613875455515,-33.36008646449139,-95.24696373184646,-45.88201595256746
230000,-38.23761301735984,-37.03072092792793,-34.339260989227334,-66.5891178440244,-37.91427444885211
240000,-37.03602965749115,-36.16850983643328,-27.73971594436402,-99.83382394234542,-37.16596145028856
250000,-36.57465087400049,-33.60642293137378,-35.28810314932266,-96.94574778895205,-40.295117793957225
260000,-37.51488413420641,-34.07737771255396,-35.11990362519857,-86.87281340178667,-37.14499248050092
270000,-37.4102507098901,-33.78342294628642,-34.87141471604427,-79.02757421268235,-34.970330022024065
280000,-37.053354820588645,-33.65838404253938,-34.700415360644094,-100.57909004520357,-38.38153549032769
290000,-37.528506384490676,-34.671013792656964,-31.851973465808317,-105.21354015681526,-37.80525445904394
300000,-37.50878316284601,-36.56884265608991,-28.94762906481734,-106.12452641957354,-36.517742954472936
310000,-37.750228096759805,-36.51543883459201,-32.559230678803836,-107.64772963538098,-37.94598258800303
320000,-37.32390357421755,-36.7469716491199,-32.4455403499686,-102.47150181790748,-37.67860777191065
330000,-37.7752429937175,-34.77858929373242,-32.197567142959784,-99.50350435502628,-37.070464679907175
340000,-37.553498239197005,-32.278479685135615,-32.03316067072064,-97.90963481084844,-36.06240061378129
350000,-37.50948642337303,-34.49754028470734,-31.993819611933258,-96.28834756269542,-35.73981863405293
360000,-35.15852641283404,-36.55940419107354,-25.8617560122958,-99.288816198052,-38.333255704337304
370000,-35.657258820312485,-36.31841270923796,-32.36792603331402,-100.9443198997917,-36.925327264213415
380000,-28.91781738802641,-36.57368638917324,-32.015492669847454,-117.73324472294607,-36.28972275738598
390000,-34.914664658905444,-33.74901933275531,-31.234532610649662,-92.33924325982281,-37.03071363795522
400000,-34.40229702243541,-35.83670061876384,-31.187933397511756,-69.75479968815469,-29.728711403066622
410000,-35.34448499467492,-38.765814419397365,-31.547229908481437,-94.30510797340393,-35.49367709370265
420000,-35.36636199387329,-37.67012099389801,-32.13682819707254,-70.55238577139396,-36.43621875150798
430000,-35.233391928296626,-38.7570347381455,-32.24390873874386,-69.51833380646046,-36.31887129779716
440000,-36.089349995378214,-39.30923012364701,-31.75382350391515,-119.1342767937505,-34.92617056204309
450000,-36.90117017982329,-38.875582047506434,-32.26149783722043,-95.22527246081894,-28.26486682994625
460000,-36.50646905756948,-38.72876360522641,-31.799244221100725,-104.4883505153782,-34.718954278499574
470000,-35.42535862367317,-34.32727524120729,-29.61540048119321,-90.59465929211551,-34.229026185645765
480000,-34.76154412887802,-63.07027010006205,-31.177500633960335,-76.30034044450314,-36.222789877700805
490000,-35.245031317755966,-36.72507675835774,-28.88940621397285,-104.73017066178072,-35.86234955811322
500000,-34.68837361825386,-37.08785826753904,-26.995162623169303,-85.35420241063807,-35.16250004833435
510000,-34.07285569446801,-35.808926971259545,-30.19896031879444,-96.4238514070362,-34.46940811922913
520000,-33.635462283219866,-35.987033470853824,-30.186532410735712,-83.24119127034098,-33.93396534362115
530000,-28.56160790869048,-32.70114147845385,-29.611773021229546,-45.30995483867763,-30.25043136990848
540000,-24.92942929873619,-28.715856077622327,-29.180823447163924,-44.43670070408107,-29.68603781948417
550000,-23.4705909726873,-30.83839953242415,-28.91021364328338,-84.2012070546657,-29.167031046931424
560000,-25.621282056751323,-29.93525923147669,-29.06421473049183,-57.692092471317586,-30.377254195058573
570000,-26.571753359811233,-30.264176580431048,-29.130889261017963,-54.14612488724351,-28.833211272065178
580000,-26.128121075030503,-30.064362904039513,-29.195109542277887,-51.83563204121638,-31.398225499193348
590000,-26.892459788628944,-25.784437205999744,-26.45363070550104,-54.41692231208173,-28.941482041354387
600000,-26.068704289208124,-26.527325195819788,-29.191725913815464,-54.67620442524388,-29.531998258816063
610000,-23.72334158012512,-23.479523623476464,-28.99620985306349,-37.14057343430181,-29.070820661106268
620000,-26.64310386609004,-23.480881464193182,-23.243287014794458,-30.555267217530403,-26.536236834658897
630000,-18.1456961053569,-27.513447936944267,-29.00608952895984,-24.25207903313345,-29.666905336610164
640000,-17.780766348134872,-28.77799573096096,-28.85958093503945,-36.97655883106146,-29.50354698551025
650000,-17.67160233560768,-29.960242915280922,-29.07644143478034,-37.53835115059221,-30.38437926078056
660000,-29.297552501841164,-29.961462409059592,-28.825172472232186,-37.65276078022861,-33.46898890449664
670000,-23.69653065198675,-26.485641169357873,-28.802501202493467,-37.720254730311204,-29.842735370757428
680000,-23.571490741715113,-28.892926044953906,-29.21102808226327,-37.742533488565826,-28.421141153179754
690000,-20.85435466465384,-26.45588003390449,-29.019799330504654,-36.6204232303476,-26.951833502748705
700000,-19.320879669601183,-29.367007237971013,-29.00090285714439,-37.777448604452175,-26.12297380726792
710000,-21.023212703290234,-29.622699625584055,-28.993820712600108,-36.856556551564914,-26.783239504161436
720000,-23.723968328678236,-27.696095257590756,-28.550509247492144,-48.89084563509389,-28.109175968633057
730000,-29.507069644117905,-26.38392394406773,-29.15767596315749,-49.730797347332576,-36.43000692087185
740000,-29.458246628684513,-27.00602627123698,-29.05890045212471,-36.47307879208755,-37.4941129375585
750000,-29.33465647638456,-23.2649567735019,-26.49463717548633,-50.38950980730404,-37.71098083698808
760000,-29.583121991428744,-25.985666617053557,-29.162051601263496,-36.399358713887295,-31.271015786858097
770000,-29.616847981518433,-26.437513354653493,-28.89941204431637,-35.50922990239584,-31.072515109943758
780000,-20.442901364483067,-29.188229193406656,-28.950380381155707,-35.60763460236107,-31.242776984970497
790000,-23.91939229798298,-28.726178309025745,-28.714163549857744,-27.16806994492783,-41.57690626142668
800000,-23.513653683141097,-23.302942377887554,-28.983024605161706,-43.653915974496435,-52.84708976708344
810000,-23.746300196715612,-23.291508864948028,-28.953720853630823,-37.882702290881184,-55.769857917071754
820000,-23.794041454948157,-24.215978347852577,-28.825589071479648,-38.022704210709065,-32.51013986358241
830000,-26.677292968334008,-25.076349856626475,-29.010168443706743,-23.62929443140613,-43.7993146497115
840000,-26.775492036135844,-28.03336609508782,-28.97085355748295,-25.554541885432172,-43.04205554227384
850000,-20.829704128187892,-26.17503379725185,-28.968621143156756,-27.143849613299388,-51.54647220520652
860000,-23.883737673884905,-26.13661707118019,-28.969763648216084,-29.272905739960734,-41.70042797216768
870000,-29.249300586392962,-23.156735161584557,-28.822590590270792,-44.21579222593922,-41.51695626750907
880000,-27.71212621311797,-26.100218455909083,-29.323751435749084,-45.109413752341695,-24.77594814248755
890000,-27.715490031537822,-26.21996751969171,-29.227928880888296,-29.310455208688442,-39.173453122964744
900000,-21.944349524771145,-25.895474046150376,-29.411893556406294,-29.09988451724733,-29.99508614758009
910000,-23.806051027917068,-26.0342772045249,-29.35714739318057,-44.512956896558535,-31.16245138193265
920000,-23.971955515369867,-25.93434868572273,-29.25293984123768,-29.278202414083303,-25.99647416607574
930000,-21.124759122768445,-26.02218132649885,-29.03340451905906,-27.187559446412756,-37.282290090168495
940000,-20.9042428327548,-26.13028328801121,-29.202340533018337,-44.46376585641334,-26.778360960928335
950000,-20.892382621094132,-26.51105348087803,-28.91746860861646,-45.23557172477623,-32.94199877303996
960000,-23.96743395558806,-26.134433198757772,-29.07913807219505,-44.74852073975897,-28.636800032363947
970000,-20.91291872252402,-25.980374068015404,-29.177517728888642,-32.81841385769071,-40.46014340329725
980000,-26.668446699427523,-26.042368509202493,-29.129482926773594,-30.73571966288259,-41.228271655772154
990000,-29.79164715541377,-26.10315483885258,-28.775736749743427,-24.942490305189093,-38.93088615903983
1000000,-20.816554120919196,-28.99490885976378,-28.749397334346053,-49.7070564690772,-40.518147324369984
1010000,-18.95786219271915,-25.864587164555285,-21.39699420357023,-50.72136458182916,-22.098215080791373
1020000,-13.172643914516136,-17.529820682828394,-18.483875912302576,-37.19338966168354,-22.515055109902285
1030000,-13.160139275883475,-14.513971928207221,-18.344336133931954,-32.691633352931255,-31.280038184071216
1040000,-13.047418069133892,-14.436425867924466,-18.645766728416042,-22.730368393823195,-21.021915407458923
1050000,-13.00465195648886,-12.980628960505944,-15.515198928373646,-15.998811348509133,-14.153929188088386
1060000,-12.933654379242162,-12.952283263029248,-12.974115339368462,-12.922972523767422,-12.749160557147716
1070000,-12.921443286844239,-12.860127248725869,-12.925299095472955,-12.841189891328229,-12.72187738440176
1080000,-12.858843385346065,-12.878409990167825,-12.87482754182176,-12.870207118926148,-12.752810431458558
1090000,-12.75775788584975,-12.844542040470644,-12.891190695600066,-12.75313728673692,-9.273127571840329
1100000,-12.766370372290499,-12.822299650401757,-12.82550447990979,-12.683400579666932,-25.260629026342315
1110000,-12.72717276708252,-12.800143149587944,-12.821717209641147,-12.689380316240582,-9.093943735646953
1120000,-12.705191897676256,-12.76558746789985,-12.623224711393066,-12.696888751627993,-9.03762590464255
1130000,-12.647607111921761,-12.771693515398011,-12.679120313824248,-12.70522721171063,-9.044611937449345
1140000,-12.575120495122764,-12.75736845337991,-12.667558980064355,-9.99101861673532,-9.09475798976309
1150000,-12.659578760437084,-12.63456145324674,-12.650631362822313,-9.184133655061695,-9.170985473872618
