idx,Run0,Run1,Run2,Run3,Run4
0,-216.86258189816834,-139.19013392586882,-190.2870639303884,-123.4342695611093,-240.99648113400968
10000,-85.52305977689149,-68.00304501570396,-85.3279102546209,-109.18580467179089,-74.60990597545616
20000,-176.5463241385157,-79.13889875083366,-125.339475872356,-88.25674804367564,-81.32643827666654
30000,-72.0169370592624,-124.70166774070327,-105.64669879449688,-77.24584572983822,-84.09118828712128
40000,-61.60355015557995,-55.612121058588855,-85.43216257198605,-73.49436085904634,-58.05746192613148
50000,-59.43867434533095,-49.647869733197126,-86.83757638914336,-89.28034374446176,-59.216275897318646
60000,-51.03619179591191,-48.93739926222441,-47.31375224204603,-51.74467016291474,-52.225060802916936
70000,-50.401502542234134,-49.50232771045343,-50.008192064569336,-50.23751256916734,-49.97832678532057
80000,-44.678250269305785,-51.5458205043927,-76.02659406175754,-47.68123961993671,-52.06505301366188
90000,-45.563887068110866,-55.5731353267294,-58.30797270632561,-46.8890389373306,-51.39577154330457
100000,-45.31992976052518,-50.68653452860132,-51.10908944894251,-47.775051108732455,-49.575252691654754
110000,-43.487530006173834,-85.55744459871921,-52.554439279075126,-50.43236988683441,-49.69149642605052
120000,-43.205710775685375,-114.85839029437365,-49.077048917952325,-47.60256618935985,-49.91542275591939
130000,-43.35165069146008,-82.15357035517219,-45.19668193411936,-46.957443210025275,-44.92232234329101
140000,-44.99286524925789,-50.415142046918305,-45.16946086144188,-46.03475583475918,-45.01685401013754
150000,-43.351746984835366,-111.85602501464129,-45.01826771739473,-47.26781285960332,-44.57191324410168
160000,-43.398203203341865,-84.70915628208316,-44.479655449019454,-45.909851396490794,-44.86429233243128
170000,-43.880920533516544,-100.7592375625733,-44.6820786923854,-44.98235546419393,-44.842913787659455
180000,-43.47769511400988,-114.35660448495318,-44.819592622020195,-44.64890701738253,-46.797177568871795
190000,-43.770574964100874,-93.8898035651175,-44.434095994064066,-44.089311673089824,-47.147156868165254
200000,-42.83293099115404,-82.37322480133916,-44.97414997061092,-43.846339686677744,-46.12005748163729
210000,-44.66253518939105,-82.91342050205688,-44.635315844196434,-43.71999505465623,-46.701394244955345
220000,-43.61572886970984,-81.7776364781443,-44.86244652648925,-43.464979883959145,-46.02123679930761
230000,-44.55339663841377,-112.52880807698571,-44.5319784298049,-43.23593592394955,-44.976874426335826
240000,-44.54205637966947,-112.79469433969659,-44.62741054343032,-43.16120046911202,-44.74774561718633
250000,-44.83722508476899,-86.8425172990746,-44.022342027329955,-42.9586131089944,-47.12411092365674
260000,-44.95352600643357,-92.91557470112912,-44.09118208154063,-42.989873246951255,-46.39014828110659
270000,-45.84099562098168,-87.82041945397086,-44.582479720889,-43.03826724060711,-44.30387070280434
280000,-45.865216860185846,-112.31563977618052,-44.32437870712831,-43.130050818594114,-45.55044088898328
290000,-46.00626270469542,-112.50333722372383,-44.37242750043765,-42.78175784931737,-44.58090071665731
300000,-44.693049963642714,-114.09921842776424,-44.672616096607776,-42.74081711464096,-44.1505495497959
310000,-44.56424309652417,-90.86539289246019,-44.16866723897265,-42.99893730958195,-44.07379561249251
320000,-44.20854361739918,-83.22916100212927,-44.30095142277846,-42.979130321777156,-42.724434930085664
330000,-43.990985147869395,-115.57543555535545,-44.67870991955201,-42.88315912741236,-42.902526520473316
340000,-43.914907148368144,-116.83873854047175,-44.48348318644603,-42.96894329726294,-42.9759713070511
350000,-43.45426452257181,-118.33455458702886,-44.26835704758018,-42.99985671779034,-43.24665211185008
360000,-43.846244389580924,-116.48827218351329,-44.515610972062795,-42.965385774294056,-43.800837555695956
370000,-44.07228294531477,-116.45852980362086,-44.356209564291774,-42.77612795003611,-43.94357779933797
380000,-44.01907053372195,-117.22538141848857,-44.37834997837811,-42.71227259726181,-43.029869351753014
390000,-44.63140838391098,-116.42160507289131,-44.072479370419764,-42.74456928744796,-43.7946543574022
400000,-44.6925186025068,-116.93570019941367,-44.43557480512982,-42.90988283928086,-43.40601501459949
410000,-45.29644146097657,-115.99766775338618,-44.2493864471385,-42.50482908888002,-43.115384305982886
420000,-44.69761364415923,-113.3032840736023,-43.433203112753404,-42.53980360849392,-42.59339729056307
430000,-43.57354438336539,-112.79523841230937,-43.22895492786862,-42.61287134083484,-41.15017224429419
440000,-44.42649538839526,-113.22412326022082,-42.64504811184008,-42.69727699709423,-42.07122067502113
450000,-45.9145667476998,-86.17535165333038,-44.616550762718106,-42.714705815848355,-42.62050069104641
460000,-46.88343314237595,-83.7171813972748,-45.04364625432993,-42.71038968780487,-41.81143263663848
470000,-47.24933723376441,-84.50516764748501,-43.92484070329218,-42.83857564576224,-43.59610975607883
480000,-48.722967856401645,-87.4567741095712,-43.17242555507366,-42.43843704892871,-43.067525097357354
490000,-46.475471208195245,-88.02364227090135,-44.864096914183456,-42.822808962312685,-42.37155284211352
500000,-48.3860947683223,-85.83647542633945,-43.89690294651726,-42.65571609531792,-41.8540887849136
510000,-47.77492035568141,-86.05226394971558,-44.41374868856426,-42.7314251748869,-43.46751569411607
520000,-47.379683490382504,-85.6372857191372,-44.33265847976809,-42.63513237736256,-43.50222325163777
530000,-45.48007978035137,-88.78193205192164,-44.51848492328198,-42.67751816121456,-44.25226011808901
540000,-45.466026686819156,-88.0232964998887,-43.95335642295263,-42.62986063623009,-44.26032334473379
550000,-44.75270800079993,-87.9037054673242,-43.90003021228135,-42.507373919637054,-43.88200775512498
560000,-45.340390197769935,-53.906753091423084,-43.716791512685084,-42.618084350326804,-45.106148610696955
570000,-45.61728744040466,-57.88956912617406,-46.011195199643076,-42.409002215646375,-42.34007096222246
580000,-45.88142113274189,-53.73323621641378,-44.16214410685248,-42.49111284650349,-42.90537691232983
590000,-47.382505745951796,-58.994150123042324,-44.950586323640806,-42.33877887535901,-43.364790746493924
600000,-47.05698224925896,-52.47243130713317,-46.92906276425025,-42.57942432112145,-43.97568002823392
610000,-45.30045771686919,-46.4496581298525,-46.41769379133908,-42.69012444168407,-44.045614732912036
620000,-47.482579046043284,-51.68252617289771,-46.30112177817379,-42.75138235727436,-43.72713626206541
630000,-47.08458987809031,-51.23058798085164,-45.83481842827602,-42.63159482152233,-43.69112848155146
640000,-46.01869590980233,-46.759562171049836,-44.45829276483857,-42.51716071158392,-43.373255378986975
650000,-46.81903882429408,-47.58734504510653,-43.17699610900757,-42.49938681216667,-43.22076025524131
660000,-46.52144876191313,-53.79579352432413,-45.38266137260218,-42.6145217552854,-43.90228583847608
670000,-47.232772677863835,-51.45444372572707,-45.82489877923232,-42.51207585480149,-44.35929681475588
680000,-47.79752915629979,-48.76452465126247,-45.60104047709578,-42.43255849842781,-44.46936682455105
690000,-48.069713549462115,-49.26738248743673,-44.90158702275804,-42.604588334454995,-44.15562974032927
700000,-47.53202363590112,-49.6249248258701,-45.3185713112807,-42.53333223194441,-44.18866415455738
710000,-47.85845488613071,-49.949765552437455,-44.53725780258984,-42.227644573920664,-44.12607415136193
720000,-45.29033954050707,-53.828949637990085,-46.43671655860896,-42.28729924347142,-44.11730227752982
730000,-47.08134116019846,-51.90988560443668,-45.64791517759866,-42.29512415129986,-44.16403351967732
740000,-45.89940145497025,-54.9371454795702,-44.39437267267788,-42.527714090404466,-42.17633128977976
750000,-44.997691091226635,-55.946745946376126,-44.89480438064583,-42.5929222989758,-43.863464794133385
760000,-44.90558604743583,-57.06192614872728,-45.27372615297032,-42.62888622298966,-44.27733470636576
770000,-45.09521878876988,-56.044464953252266,-46.72735431903338,-42.72981320316077,-42.29135836240449
780000,-45.55545171267822,-55.14116028043532,-46.06085760893459,-43.073535461614874,-42.31630816335662
790000,-45.749333019751724,-53.90896493892982,-46.63733562552976,-43.019003051588314,-44.262221846625025
800000,-44.5004798914679,-53.75592135412944,-46.393445147559866,-42.931400369376256,-44.269200971589136
810000,-46.92720326596544,-55.04962931940235,-45.38956951171137,-42.863913436665385,-44.130269669578155
820000,-44.25115238689723,-52.30962231431714,-44.87638550215819,-42.86491316907797,-44.02581639808124
830000,-45.14340141792726,-51.351421502407646,-47.16435663909155,-42.597967279572025,-44.23773023705899
840000,-46.328246399948874,-51.568082827222426,-45.34749854809215,-42.63854549613834,-42.517183964825584
850000,-45.44491991806735,-60.02180009616048,-46.60610386705024,-42.56855491160947,-42.28398134874659
860000,-47.85167841262294,-54.09044511063646,-46.82961019930854,-42.58465385549088,-42.22871790519488
870000,-49.54584893649522,-56.20857260477733,-46.412742404953995,-42.74578986700299,-42.55441814498191
880000,-49.7846089752624,-56.697136336922284,-47.83700986835592,-42.5514793435509,-42.69872733692335
