idx,Run0,Run1,Run2,Run3,Run4
0,-77.91932859859776,-73.19156183239284,-73.35517648446242,-65.63102769898018,-74.6056220052187
10000,-60.423859382597136,-68.19088050005287,-86.18790404801604,-69.7868196449845,-68.52117187721142
20000,-68.02624398892104,-71.06776080152609,-77.30487523212784,-66.84124378672149,-71.20272730128818
30000,-73.21750139278119,-64.9162104415127,-69.05386749752613,-72.07927305864612,-77.49382126229371
40000,-70.67121082697986,-81.08072417563741,-69.50881322947414,-70.20934205930098,-63.857361403409314
50000,-66.44974446210625,-64.58726794747206,-64.91513272060396,-62.038050874210924,-73.19660978885821
60000,-72.5138018078511,-69.05803088144953,-74.88448063849849,-62.03265867511538,-71.83920041860458
70000,-67.80990046933552,-69.83690190239331,-70.99318924282107,-71.0926688856454,-66.51763033199614
80000,-74.17170679669168,-65.59669121289154,-86.22481632131198,-63.83349695593453,-70.33983576514494
90000,-59.3533311484233,-65.91145028875718,-65.57427311935817,-68.10357865250116,-73.77274664917108
100000,-71.98460941373601,-77.83311581405906,-62.31924446195516,-75.66392393097159,-73.90592927733708
110000,-81.6908655358736,-65.40189088692061,-72.80894313038691,-81.0080251674348,-77.0912168284054
120000,-77.16089799469998,-63.38939622732847,-70.91064084397358,-73.27427943453809,-72.07412263577802
130000,-71.65319624549517,-73.28261491873064,-63.17218216788434,-63.82027750063237,-68.20093110476047
140000,-61.29496900760269,-61.77525739235432,-70.06693730231353,-75.02727333650401,-73.31008600699236
150000,-69.35901632681382,-70.5955807596814,-72.90486569477613,-80.73458826807882,-76.06792809555256
160000,-77.68244023145868,-76.25429898359148,-67.155979806503,-75.8451494642377,-71.94047922910599
170000,-59.56344785039767,-74.71661824303816,-76.50410679779513,-71.37116655531928,-69.08771514770883
180000,-72.01856563641516,-74.3828540140937,-70.40883346294726,-63.194526672272126,-68.20092106433756
190000,-75.71263804549542,-64.3524826829539,-72.74212477018429,-70.04079190869591,-75.58604788140437
200000,-69.36208977720685,-68.4140149981184,-74.3342280295428,-65.20122576542622,-73.93898843406379
210000,-74.44176015996209,-65.36432497683339,-75.63178037761273,-68.46563325105176,-66.25008999776956
220000,-78.97872271914882,-70.35310847197958,-66.79392787273305,-67.08229420680317,-71.34210717478932
230000,-72.54450429293097,-65.2365105378099,-70.5300619591659,-60.6859019450648,-74.76040622648154
240000,-67.42249181190147,-61.20302429593055,-69.55876227113555,-73.73246749011271,-77.92964909117525
250000,-69.66212071146369,-65.32165881959688,-70.97324040314261,-63.2981865305319,-65.09540985479866
260000,-66.86978356221412,-69.84056019265728,-70.12980470334037,-69.86941143656846,-72.31599320740368
270000,-74.38679405406194,-72.98507593697713,-78.32067435418368,-65.42943167829581,-70.92656998863957
280000,-59.81480664414035,-71.04188558989632,-72.182245444051,-66.9916056892203,-77.58288088341904
290000,-71.70910017570817,-71.39996223930082,-61.62691447525411,-65.35180179998821,-72.87639253160842
300000,-65.31749426590548,-68.2023585718562,-60.193738761379024,-76.92248599576921,-65.62804382772907
310000,-63.84933247173577,-81.7456391001146,-67.236437457971,-65.6552392813864,-69.5865898126373
320000,-58.88055474741872,-72.83714523282559,-68.17623633478195,-67.6465904351051,-64.6142317351936
330000,-68.49495015932075,-67.99227725159886,-62.73206148842711,-73.2902672264337,-71.87507958736842
340000,-61.38260752598384,-80.30474149812146,-70.34129510395799,-67.55233216074379,-72.0436031267803
350000,-76.15564856517948,-69.00564204606076,-68.51419748651503,-55.856650020824034,-68.22595150552026
360000,-70.97779267349847,-62.931884034777696,-66.21619518868893,-74.718957173341,-73.15690728992328
370000,-65.2389338476722,-67.98429187846745,-73.05348574524801,-68.72221539417416,-75.50774918019586
380000,-63.43970748044612,-67.24389715041316,-63.70956522018809,-70.82011551163461,-70.3345250692929
390000,-66.61137659679325,-68.67053531970366,-68.81078985074757,-80.41533373539428,-74.3891885552488
400000,-66.1089620459806,-67.93432154476035,-63.12032905848874,-69.40840110169434,-64.58050401062995
410000,-63.78688702448453,-66.70411197815976,-66.05861428491413,-61.285514137234536,-73.79710428187205
420000,-64.16446853805498,-67.49964209635954,-71.9915296262759,-62.78391094256484,-68.19816699915242
430000,-64.9832740606158,-80.73211274833524,-71.59086782744244,-65.96326977046495,-73.0590923289745
440000,-74.1185979579102,-75.34145133517333,-76.37203026233938,-74.88750166069075,-69.61469636142236
450000,-63.73839816260697,-71.64496158026019,-70.47028273957432,-62.63932311744288,-57.876728465760024
460000,-84.43359788128124,-69.04782895725322,-72.80172809566612,-66.6402228494188,-78.94441466739718
470000,-74.18212182553033,-69.05021567602853,-61.79365491290356,-76.87910695314508,-70.08555996880317
480000,-72.78871056392617,-71.70647680524367,-61.99425799675179,-70.93628610060414,-82.56178558540334
490000,-63.24043360990387,-70.31144917590635,-57.214059306725275,-73.66253862068656,-69.39877742676842
500000,-65.03746191683905,-66.09830102302112,-64.99423263691963,-65.78192881858132,-72.7808888513113
510000,-75.56070369048868,-75.89937984182485,-65.58554633384709,-83.97859128850118,-68.75072543138387
520000,-68.37875502650505,-76.07897891297934,-84.64613751845606,-76.34154731380768,-60.9617894295098
530000,-74.55327484703133,-65.1632736992984,-69.46766596762467,-64.61811684172547,-70.44008667966537
540000,-74.30272411295631,-83.19876192474847,-69.46756229232007,-69.61081980745608,-66.52060892760545
550000,-67.156097603805,-78.1644213498796,-68.77920649399012,-70.36847577906245,-75.79728145574829
560000,-63.98793466086391,-68.7417016019556,-68.62175480872153,-68.15182593446072,-69.23636150423373
570000,-63.33242296251806,-68.01127114270994,-74.10454445172854,-66.19806552675323,-85.85711135697127
580000,-67.83707196206954,-68.34253740497887,-60.88959290879905,-60.56572000028125,-67.05181750869563
590000,-68.93403714743509,-67.12076538391172,-65.2555699057252,-66.71624014000987,-66.86768901053787
600000,-72.74711468988879,-83.31830242093376,-71.04230493397641,-65.12717426146051,-70.4855174539676
610000,-74.86032081023366,-68.29424565009555,-70.35059205193517,-74.10592506796122,-72.59411088619294
620000,-70.97375463477488,-73.64303096492024,-75.85015400334595,-60.8005886448743,-71.92665942938166
630000,-67.32298838140773,-67.06439203656377,-78.26845461470376,-69.91669891039992,-70.66836216497381
640000,-57.506585013543805,-77.96907195650518,-69.1213607407492,-65.04467328111443,-69.12125882871744
650000,-67.23565909310055,-58.097599180613635,-73.13084324311093,-69.317347819099,-70.10558707808981
660000,-70.4141454902426,-69.41999307280908,-68.40694081924312,-68.1444604287886,-67.05064782928774
670000,-69.74123662367809,-70.49890115613488,-71.71241953466607,-61.84926706176801,-80.80054973127466
680000,-61.55562887080423,-67.07784780594434,-68.31447507564963,-74.36378156332894,-69.01904670060767
690000,-75.91792315156214,-75.44185680749794,-66.27575156145338,-79.34985652996528,-76.88721976935997
700000,-73.5009199096642,-73.80929766261215,-55.7149673584239,-75.9830716308296,-75.29847250548993
