idx,Run0,Run1,Run2,Run3,Run4
0,-81.25868325091119,-316.86722599236816,-150.315183434063,-81.70330733239078,-188.96481534915836
10000,-49.869415102175175,-47.14106530365331,-65.28739348256963,-49.021443825888056,-47.06597172267422
20000,-43.14153545726104,-43.72067086234165,-47.56534564885371,-44.167677526886486,-50.04323470171446
30000,-45.890981885910485,-35.642368584696314,-44.74326023548852,-35.989720507463645,-45.13218352237503
40000,-44.88706463190359,-42.079907381820995,-105.96412960171617,-38.93890270716953,-44.996996610482135
50000,-43.60942560155997,-35.74442611219365,-49.536076147972445,-42.954864841740346,-41.34121373425818
60000,-38.448269608333085,-45.94467884252692,-43.17082433880503,-37.29612078198267,-39.209801721442446
70000,-40.96875089238444,-26.86585680405511,-70.98961001837652,-30.92865830270289,-36.87525903541075
80000,-43.6638204468396,-32.46361154954595,-38.92616669015773,-35.86508203027795,-39.03225150617124
90000,-34.26924552887671,-33.94012827616917,-41.41537496980194,-33.18869657933165,-42.30745854369819
100000,-34.792521305819626,-26.238299766677365,-34.114411545041925,-38.076369656035254,-35.57818786857715
110000,-42.10463949277653,-29.410621026799042,-41.23176554416867,-38.767571191453875,-37.532514310742286
120000,-37.45897699640081,-26.808713525112232,-32.18255517954414,-33.018400662959145,-37.10752566288568
130000,-33.924571960953436,-23.036532752194507,-31.011737972714055,-30.80845023889467,-32.81102096780073
140000,-37.77613016145325,-30.22388059312294,-36.05283119554014,-25.917432963156653,-33.30154907097962
150000,-27.908575352894232,-26.79788263681674,-32.609923367468554,-23.99658298608318,-34.8698325395134
160000,-29.90098044661421,-28.003789418286633,-29.21398373255083,-22.15320006646837,-33.46147947072123
170000,-30.47301610858803,-27.42199718526765,-33.39614053581497,-26.33376812312807,-29.114048109995654
180000,-28.762483271030476,-24.23279667438925,-33.71286548760538,-17.419053902562602,-25.016025945971812
190000,-28.235336314539676,-18.433786411837488,-25.005514950744722,-28.05591130855942,-29.121910632013776
200000,-28.680148414637628,-17.5521749975482,-22.426593364104473,-19.732295970492213,-23.301281527989907
210000,-21.56204359193143,-17.458230857506557,-26.970154526968507,-22.034052710834505,-25.380427312046326
220000,-24.106176724261285,-26.366330430760847,-28.674081128795812,-22.914597712708673,-29.05831675148533
230000,-21.497083644559673,-17.879724265211028,-17.388184458742053,-24.675788207729298,-28.19555942123912
240000,-38.141040313016056,-28.236176069021727,-26.375274354790697,-25.93637990192183,-23.426034161547992
250000,-27.995516635258788,-21.032637496912383,-21.56541107174257,-17.47977241760193,-17.86539473369396
260000,-22.832496592197337,-28.679687783440393,-22.247514475919147,-17.42852615303625,-17.35404848371964
270000,-19.873409942790566,-18.582233233986205,-22.07191331903141,-17.183698576208307,-19.492118549451142
280000,-27.30727826936613,-16.930707071088406,-17.858147607009126,-17.007090996523992,-18.992278482069562
290000,-21.046381528481373,-20.591068834268864,-18.43058659028982,-21.92288882908308,-20.278998344124936
300000,-18.897390915435896,-25.90816225070604,-21.445344068255896,-38.504096399451875,-17.37708280853065
310000,-20.783139618976772,-21.288399322261327,-17.358584434066636,-17.086579856482317,-22.339728929798603
320000,-16.968069868628675,-16.719140299148165,-20.486443928911175,-17.979429477883418,-17.32945066698355
330000,-39.23006460917597,-17.07648737844959,-17.30060911241509,-21.161554393744673,-18.733174084302718
340000,-20.9413620290701,-25.557077542560123,-20.734923408038753,-16.88682020526637,-17.407035756937493
350000,-20.10265974713114,-21.706936728249524,-17.178847990848414,-20.991528504039465,-17.09936316065879
360000,-33.34766133088397,-16.72484647244519,-22.14585820345502,-17.192886006771708,-17.51767033933659
370000,-22.214680877249723,-18.33490416405585,-17.509400027227585,-36.486089720344665,-19.956666700982446
380000,-17.986308087651786,-16.63552053945204,-18.523929459446133,-16.96838677789159,-19.654177014759107
390000,-17.115755669864946,-16.944684741354358,-17.453310920981554,-20.121821001455285,-17.698175765545656
400000,-18.07438431569975,-16.6005384381403,-62.079277303754914,-16.405957047798694,-17.18168269424116
410000,-21.242562056913435,-18.82127738770556,-32.16637238223383,-16.66766740932598,-16.84139601588743
420000,-17.255990202769453,-21.225713295611524,-28.37991617491522,-16.715642598232627,-16.462331169511206
430000,-17.292069870312655,-46.9960090388618,-110.15980230876517,-16.770626353908657,-16.896323235896798
440000,-19.603534046079442,-19.17495174053371,-36.690177491921055,-22.67769150396729,-18.27218285715666
450000,-17.15764979878567,-19.486816317717242,-28.89521161074646,-16.421635880249426,-17.120789720517333
460000,-16.947511099429708,-69.6933695001022,-50.83892423642349,-16.42139926736454,-19.284285423651006
470000,-17.055255848343155,-19.892895367519746,-51.14253638731539,-16.514479162255977,-16.93954217413464
480000,-17.046057884271534,-21.085031264753535,-45.32414094827842,-26.75913899227657,-21.30209436930425
490000,-23.989266803642877,-20.632077252826175,-29.624639722671436,-23.747784433375557,-22.452890800846355
500000,-16.81922344830899,-17.316675986226723,-21.218181443565104,-16.5185286488104,-16.7620256549739
500000,-16.820325721253575,-17.310737342688174,-21.22635925163147,-16.522922834965453,-16.79137093588277
