idx,Run0,Run1,Run2,Run3,Run4
0,-43.0284818290371,-77.28438045339068,-54.54652035636748,-46.62557667803853,-46.862915739829866
10000,-34.80494739956705,-39.75918557454528,-68.3872045907267,-35.8973179566501,-34.936815085477065
20000,-35.28187476205067,-33.92165990914069,-35.99290723043097,-34.62286256791996,-36.25995628628472
30000,-34.46192346688498,-40.43749733775435,-35.208392405965505,-35.819455679369185,-34.55534321292089
40000,-33.5407555439816,-34.78005503689467,-32.514948451296334,-35.64903039780953,-34.19689235928809
50000,-35.98224678255322,-42.15935327667639,-33.99970791709786,-36.0322815845501,-33.43502246416278
60000,-35.813140986086424,-37.781716897812196,-34.36576825797595,-35.44311757179376,-35.18960067943667
70000,-36.18484141746633,-36.745926896030575,-33.544086205582296,-35.811984758627524,-36.96586024620722
80000,-37.21730003143112,-34.016992382550555,-35.15125166996725,-36.473462667789214,-35.44391834033066
90000,-38.40555476736588,-35.53162949328104,-34.71032166435457,-34.06079515584802,-35.458644266749296
100000,-35.896689605696515,-36.08775805110404,-34.83663525367982,-35.6534956729271,-36.875696821881114
110000,-34.706514930644374,-34.932400811142195,-34.5189382525302,-36.6516998099781,-33.91363818593533
120000,-34.61759791622162,-34.630368665323786,-37.01715811020154,-34.15162825469257,-35.16115022980481
130000,-68.15109102809703,-34.97654196396933,-56.26725603575711,-36.63779933227356,-35.774368098876124
140000,-34.52540138209579,-35.345249586380305,-36.80902842982477,-41.00389932687509,-34.565494586220574
150000,-34.33509654677347,-35.624134687797785,-36.4030237689345,-34.16622869632767,-36.67455856729218
160000,-69.10030592110057,-34.82943864415991,-43.58611470060998,-34.1417433113118,-33.72777940062194
170000,-35.813721587848214,-35.325952971533596,-95.45579377447334,-33.8088089305219,-36.42544437635606
180000,-34.68968970960316,-36.18694497234018,-36.2741416419126,-34.69199407916391,-32.10498720121319
190000,-34.70207543754316,-36.21292255463195,-34.05304331351954,-35.630807359862686,-32.5032951865331
200000,-36.328334936680285,-49.30844790458981,-37.03731528801553,-32.42472190956256,-34.93473754860688
210000,-34.665765442581666,-51.95919047108453,-36.8914002584686,-35.494027295528184,-33.081409414122184
220000,-35.32288953547943,-51.78528929663358,-33.669368221119655,-34.214422166255964,-35.02661583022636
230000,-36.23031591427592,-58.396856843351195,-38.66824245381573,-35.143306950973034,-35.123729809919574
240000,-36.14526214984748,-56.403301648824495,-56.39406068487736,-33.644391672494365,-34.93106877773451
250000,-36.976102222480264,-35.01616399777849,-35.79333416247384,-34.357519957857086,-36.27290012011288
260000,-35.70385089726229,-35.50635922956748,-34.80448006557743,-33.54584569339357,-35.52447956934521
270000,-36.59253463757999,-50.63558784825822,-36.12997073602351,-35.535934403009826,-35.4563856339639
280000,-37.656183924882136,-35.01508501806441,-92.39332008325806,-32.96469210866786,-34.31501169156522
290000,-35.96163962979691,-32.583254887570206,-79.94058113578858,-35.29453784839655,-33.145870719932454
300000,-36.228597126125756,-37.21183033836787,-37.88040017803004,-35.28329002889473,-32.934079164666166
310000,-35.150091449138436,-32.9986668279482,-36.16850349114095,-35.18656990631166,-34.24984095616652
320000,-36.14134933697384,-77.43233594604376,-38.13860401545821,-35.47864615917767,-35.37922556025901
330000,-36.492236700189814,-32.24834130849364,-85.17254595345977,-35.510267294485146,-59.846322456451816
340000,-34.84793549158791,-32.59536803554103,-38.54932273869994,-35.67613750842013,-33.20823770075427
350000,-36.50228556245797,-32.537178744998556,-35.63845046497416,-35.2953996242843,-37.092433700705755
360000,-36.46177853029464,-32.320321327607466,-36.477759573814204,-72.35025683413907,-33.27688330143056
370000,-32.3726695409758,-32.97821393685845,-36.37440177347871,-34.983741479076436,-38.31539939387826
380000,-34.00921881515787,-35.10614292082471,-34.62777970933837,-35.295420926038794,-38.003542402856986
390000,-31.64191205873051,-35.29519532811311,-36.588009788072085,-35.145545546224575,-38.62882425098005
400000,-31.9986134082236,-89.27866665193201,-36.09158597574962,-35.47612199437006,-37.718052486581605
410000,-31.82361828346021,-90.47051022563625,-35.0461570955841,-35.14018594501745,-35.57330862965296
420000,-35.65750577022231,-88.99786360929528,-35.93969373154104,-35.05404152239264,-35.62835778351605
430000,-36.333320619571026,-88.94650410568813,-36.75752674673433,-35.15855331855358,-36.04966516221885
440000,-36.11377596701092,-88.59546038487933,-34.77958029506548,-34.8362422122636,-34.055677466143614
450000,-34.50264972342938,-35.42313603321886,-35.04043761144981,-34.7018783971077,-35.497264829344566
460000,-36.84948534716505,-35.15096093804644,-35.68365706424093,-34.65343259728877,-35.680630993515905
470000,-37.72166955390014,-33.53920737425604,-46.746256218983305,-35.00824237806756,-33.33346342566143
480000,-35.08457127284751,-33.338139951572565,-34.43903106949242,-34.92743248625747,-33.7823170477404
490000,-35.678795222581016,-35.55344983078948,-62.062659139797624,-35.38246445717763,-36.49292735705937
500000,-35.06173450794571,-33.90029312826213,-35.49603297085427,-34.69185519613985,-33.56777182855173
500000,-35.08201168651569,-33.9054376405607,-35.418402192902924,-34.702999960778165,-33.6171468950296
