idx,Run0,Run1,Run2,Run3,Run4
0,0.6333333333333333,1.0,1.0,1.0,1.0
10000,1.0,1.0,0.9,1.0,1.0
20000,1.0,0.7666666666666667,0.8333333333333334,1.0,1.0
30000,1.0,1.0,1.0,1.0,1.0
40000,1.0,1.0,1.0,0.9333333333333333,1.0
50000,0.9333333333333333,1.0,1.0,1.0,0.7666666666666667
60000,1.0,1.0,1.0,1.0,1.0
70000,0.8666666666666667,0.9,1.0,1.0,1.0
80000,1.0,1.0,1.0,0.7666666666666667,1.0
90000,1.0,1.0,0.9333333333333333,1.0,1.0
100000,1.0,1.0,1.0,0.9333333333333333,1.0
110000,0.7666666666666667,1.0,1.0,1.0,1.0
120000,1.0,1.0,1.0,0.7666666666666667,1.0
130000,1.0,1.0,1.0,0.9333333333333333,1.0
140000,1.0,1.0,1.0,1.0,1.0
150000,1.0,1.0,1.0,1.0,1.0
160000,1.0,1.0,1.0,1.0,1.0
170000,1.0,1.0,1.0,1.0,1.0
180000,1.0,1.0,1.0,1.0,1.0
190000,1.0,1.0,1.0,1.0,1.0
200000,1.0,1.0,1.0,1.0,1.0
210000,1.0,1.0,1.0,1.0,1.0
220000,1.0,1.0,1.0,1.0,1.0
230000,1.0,1.0,1.0,1.0,1.0
240000,1.0,1.0,1.0,1.0,1.0
250000,1.0,1.0,1.0,1.0,1.0
260000,1.0,1.0,1.0,1.0,1.0
270000,1.0,1.0,1.0,1.0,1.0
280000,1.0,1.0,1.0,1.0,1.0
290000,0.9,1.0,1.0,1.0,1.0
300000,1.0,1.0,1.0,1.0,1.0
310000,1.0,1.0,1.0,1.0,1.0
320000,1.0,1.0,1.0,1.0,1.0
330000,1.0,1.0,1.0,1.0,1.0
340000,1.0,1.0,1.0,1.0,1.0
350000,1.0,1.0,1.0,1.0,1.0
360000,1.0,1.0,1.0,1.0,1.0
370000,1.0,1.0,1.0,1.0,1.0
380000,1.0,1.0,1.0,1.0,1.0
390000,1.0,1.0,1.0,1.0,1.0
400000,1.0,1.0,1.0,1.0,1.0
410000,1.0,1.0,1.0,1.0,1.0
420000,1.0,1.0,1.0,1.0,1.0
430000,1.0,1.0,1.0,1.0,1.0
440000,1.0,1.0,1.0,1.0,1.0
450000,1.0,1.0,1.0,1.0,1.0
460000,1.0,1.0,1.0,1.0,1.0
470000,1.0,1.0,1.0,1.0,1.0
480000,1.0,1.0,1.0,1.0,1.0
490000,1.0,1.0,1.0,1.0,1.0
500000,1.0,1.0,1.0,1.0,1.0
500000,1.0,1.0,1.0,1.0,1.0
