idx,Run0,Run1,Run2,Run3,Run4
0,-262.765832003706,-85.85484637797877,-124.60280117909858,-134.12577594576112,-323.85551410089766
10000,-49.11729165993359,-48.46166929026113,-53.36371062866555,-48.446101191535746,-48.3422624288188
20000,-47.775646408312504,-44.24404436032262,-42.17491103291933,-44.525304079142444,-46.22884051069348
30000,-48.44856453349524,-35.945866745849145,-37.75484072507062,-43.460709236456815,-44.025937544811306
40000,-42.250871843926895,-44.58017787189988,-41.1721104448538,-37.7522662963839,-42.11302205250725
50000,-41.89612972638335,-39.61858698332314,-35.8376440951417,-33.004024098439025,-38.62052602730018
60000,-33.63362620985792,-36.47269655966182,-35.56139713908575,-41.570457061287335,-42.87618180150675
70000,-40.82987334416428,-33.84990928487394,-37.31447239012278,-35.90805525113016,-37.92528435182251
80000,-36.188714151249805,-39.66468693335745,-34.29327684583882,-39.344997307198724,-41.66439188677332
90000,-32.156195949857434,-33.778392467086285,-34.114703867930665,-38.25533665991849,-36.11498360573944
100000,-44.74236592266992,-28.86277200792716,-32.15146611967653,-32.48575860111909,-40.377612277787414
110000,-32.855600707004136,-31.682921553121936,-25.57811682571861,-30.75328462436423,-30.442065781782745
120000,-32.65172192736499,-33.68406137713576,-34.010436302436204,-33.325051021918625,-32.45551191421051
130000,-39.60649300792145,-27.470251544478174,-33.45525871836681,-30.69981129455832,-29.212632932476996
140000,-31.07955563281837,-21.795103240642366,-29.782067000462135,-31.514986630732498,-25.58623639799423
150000,-28.823032566899034,-22.446047551592134,-29.362095000051966,-32.085272754320144,-26.50250673631429
160000,-35.181312633420795,-34.75695571963378,-30.68196458699749,-22.421148736139624,-33.04447502808047
170000,-22.94237714415515,-23.607914580825845,-28.20567145600331,-31.708837119825976,-28.79518907828526
180000,-25.92739098855891,-39.96899441623842,-29.981040864486133,-26.06818681752349,-29.717351058038336
190000,-27.23243935265096,-26.525082385598296,-26.309099949915378,-17.63175988934935,-24.98794924100552
200000,-21.43926388606313,-25.11413791484757,-33.849088878361144,-25.20937177660062,-26.112631163394077
210000,-24.824414202861547,-47.12036112855189,-19.45978126012432,-26.604862538974917,-22.144138205244456
220000,-29.60581671013052,-20.353266237207258,-25.324306104600304,-23.965346292192475,-24.64072053946433
230000,-23.04384940415469,-25.547791121886643,-21.654347248772755,-26.295784390262224,-21.73788549962218
240000,-31.19711174634825,-17.30873921033443,-27.14935328256045,-22.08708709671806,-22.299674977124596
250000,-27.479351000307595,-25.171593074045994,-21.92594013081733,-24.40086937938221,-24.425912053241866
260000,-23.107492254948298,-17.28321234284542,-21.026515143097413,-19.070293996230586,-21.493084262808896
270000,-23.850326316081627,-20.656869622874954,-17.29435239643213,-21.75844029315527,-23.211978887349563
280000,-22.80645506663201,-24.180175027253572,-21.58176319626785,-18.005307307591583,-23.27383463671293
290000,-21.316113755780886,-18.139310984451892,-17.406798928814073,-20.113578808255795,-17.386370183527756
300000,-38.65110597963882,-24.071761724846418,-17.57561357072342,-18.048116839124006,-32.88810453259406
310000,-30.350751236125955,-24.151802809654956,-17.279810658482727,-20.455315821598578,-17.138928241139435
320000,-33.98088386929789,-17.362093865881384,-20.296960638718172,-34.16111412703973,-20.500985794814294
330000,-18.959180145493505,-17.736546711032283,-19.694562586791275,-21.215376283159813,-20.360364744723697
340000,-19.888584846013526,-19.323197222245767,-17.358226225717917,-19.876256977708735,-23.54048272433292
350000,-26.419271008964753,-16.926898575026826,-16.951329446552005,-17.501869161015474,-20.725873571546945
360000,-25.393623997139297,-18.346222576991725,-17.29627142852548,-21.773334578787708,-31.302709043389875
370000,-17.108381073253323,-18.31028654255547,-17.2121193818421,-17.014162371308775,-17.376077828033246
380000,-23.31213172305909,-17.362313659586007,-18.154794026682943,-19.8121238316564,-17.239002893549674
390000,-17.31467915920339,-17.676547351803258,-17.191755572800783,-17.157173113183763,-18.809471283944976
400000,-21.484662745425886,-17.5133250681278,-21.153446942049428,-19.83157067531586,-16.950854089219824
410000,-22.04735083526949,-17.379243547138582,-17.041961026671675,-16.81625562797388,-17.001733100354127
420000,-23.64353435459174,-21.087377355278154,-23.08200888932199,-17.2344819470987,-21.649683333988754
430000,-23.45281720300504,-21.902050383311668,-18.298388782244853,-17.242666444230913,-17.230915846215893
440000,-17.531556846949748,-23.10595438605337,-16.937827817511312,-18.971902928998606,-17.334654226318392
450000,-21.25581115312091,-19.13786681934731,-17.566487449729312,-17.349445449944778,-16.973946931513048
460000,-16.995943887652526,-17.558205892361546,-17.607394575739935,-19.497463386236152,-19.616139973992453
470000,-17.43608898735985,-18.11349459286149,-17.2920200115827,-16.83578028769195,-19.9417671757854
480000,-16.96513800506413,-19.967292005676175,-17.16045495136729,-16.839370323325944,-21.33849712247728
490000,-17.679332929657203,-18.7410036265498,-16.95184907819906,-17.292713017698087,-17.1957803551897
500000,-16.917384018754984,-17.0578946105885,-16.909931666358208,-17.107935630263544,-17.034361096471194
500000,-16.92110270216519,-17.047303234404627,-16.921140883146922,-17.120641896791575,-17.075214271359037
