idx,Run0,Run1,Run2,Run3,Run4
0,-54.44798793671337,-96.79210456938479,-70.58228931348644,-67.68364844795794,-61.07961228646939
10000,-194.94180006696538,-39.307899836538816,-116.74449412989996,-46.03402818829192,-46.18793454570046
20000,-220.3178434940428,-39.116363899576136,-43.405561863822484,-38.29364495858379,-44.023180558134236
30000,-198.1760594242476,-36.7237805599751,-96.59987576512182,-39.25388336794647,-36.92233881765728
40000,-234.8129244152212,-34.61566103019823,-60.618912947754396,-42.50589004191665,-36.794516074655796
50000,-235.8830740933518,-34.782342255142645,-65.92987434070399,-41.78723225900354,-46.350493913991805
60000,-117.60989911371283,-34.83455911881823,-44.77234819208038,-42.865902258725264,-73.88583480315982
70000,-189.11749221470782,-35.60164472638585,-44.072631166541434,-74.80819156059668,-44.610813510061085
80000,-91.25798907357735,-35.685092189408664,-41.414556508760256,-44.09334237384317,-35.91231169833727
90000,-42.01660875084465,-35.721390200473685,-49.892855716806324,-69.8571166994323,-36.24161694928768
100000,-41.962721660188734,-38.82954338998504,-45.22209100859266,-48.179826129408845,-40.87456336215022
110000,-39.873311262664295,-83.88288328952534,-48.80258132573887,-44.044305354570966,-38.07684624662411
120000,-112.33444043005535,-39.2184573090972,-47.539450158911464,-43.18967490962582,-46.76846000334451
130000,-39.96812239662267,-38.82092614519063,-61.75287728940638,-67.02444809908083,-40.01494311045489
140000,-97.98211088086234,-36.87959386879092,-43.792465471193715,-86.43752962995949,-38.61031421489018
150000,-127.01101916838505,-37.986582784174445,-41.84671960452489,-108.6693474020198,-41.5006956332004
160000,-125.57975177340501,-35.625508151979105,-41.694335679787045,-90.93833438892567,-53.492774720043585
170000,-118.65421825003504,-35.86886081751278,-41.625383294730675,-70.43039774905576,-42.0776790220145
180000,-120.32237954343711,-39.177518490561546,-41.38167533462931,-69.29598351085647,-55.37707329953972
190000,-98.45720715508045,-36.997756093554976,-40.58907739105915,-70.69350135476974,-55.58386423919869
200000,-89.38326757996326,-34.39817021037191,-41.38941184146886,-72.5744982832835,-42.655411827069706
210000,-101.87629331572249,-36.35086217727688,-41.55975369928999,-85.17966077936647,-40.432129058462024
220000,-43.791497135233875,-39.06692828683858,-41.83362632218323,-69.0724127399987,-55.70095750839208
230000,-42.45226326659095,-37.09006553496941,-66.2972240067601,-51.240467993956905,-42.540630270628455
240000,-41.31161566197646,-36.60094102068118,-70.72990696959245,-47.769535639840434,-42.58258576564162
250000,-41.64843838193742,-36.26125216177878,-61.24570406934048,-43.084345863911075,-54.00135335313739
260000,-41.45255969972785,-35.592670969212044,-77.0736658854565,-40.66064509850549,-54.999698728643054
270000,-41.99482782524403,-35.51810381137464,-79.51237212385269,-39.389214086713864,-41.23220810230943
280000,-43.38376879505833,-37.8122505180358,-58.95303569857983,-42.671371569448795,-53.8469056685017
290000,-44.38896667129133,-54.97726498200062,-57.49547842356833,-39.60696176258534,-42.3577309039188
300000,-43.6363033747895,-54.444352821401445,-42.95649263535836,-38.232906232136564,-37.989069568929835
310000,-48.15392550429242,-40.01759807864699,-49.71353684054288,-55.58367959856331,-39.61906062061205
320000,-68.77785188276839,-42.33538660690974,-51.1283333453204,-58.32339175797072,-38.59551656289979
330000,-69.17004651779932,-40.01726217861522,-46.25500124790407,-42.166828131985504,-37.20628196255577
340000,-43.67520513373627,-38.38586992439845,-53.72336980184163,-90.1686380777555,-55.62277335728538
350000,-43.3083045176751,-57.0681904998419,-92.8291261815236,-39.66135403494537,-57.1862161298699
360000,-43.9074045643453,-90.13208268982662,-48.328300631293445,-39.44138437180562,-40.949263536780464
370000,-43.031822560924496,-78.09602444389719,-43.42543288655543,-43.15077717822035,-69.54494399701429
380000,-42.91848848359915,-40.717364928959384,-71.89247875818525,-65.29751575747896,-38.97464872944746
390000,-43.58371705465568,-42.171821960216064,-75.76639391137374,-40.622301367534774,-58.66414930127082
400000,-42.571967080266305,-49.18002101279493,-43.59520102838062,-38.318708049304774,-40.55731254910601
410000,-41.503768196173496,-43.159828965585476,-62.59869007680429,-44.33521294813043,-43.16418537592114
420000,-42.381181470338696,-83.45316086266185,-49.1301795732836,-55.111854505535426,-44.624868266615906
430000,-42.247745168714,-38.63353781687947,-58.959466404237666,-114.69432122090994,-47.63593020208296
440000,-42.729727713464854,-36.89591312134148,-69.11159255038564,-65.7826596541503,-57.21520975207986
450000,-60.73103776128615,-37.8169106833535,-58.72436531279492,-42.677796323011385,-58.10496301982388
460000,-60.89402486116726,-34.537907558992075,-116.68765373005948,-43.890986108303046,-43.89046430245251
470000,-61.47895247908207,-33.46056721224354,-64.74470584724904,-63.809521990650516,-56.07806942143349
480000,-62.1728083376927,-35.177385923727904,-44.40558167069901,-88.3645882255019,-54.86222744451565
490000,-42.189249308362456,-35.78491817609041,-48.42122103334454,-41.836308346669554,-55.25613334459262
500000,-42.31942683137571,-36.56359918458775,-76.10380389344803,-42.34613325690167,-40.960162544939934
500000,-42.27224735196426,-36.568646202450836,-76.29710326774605,-42.27948198178059,-40.92265011034134
