idx,Run0,Run1,Run2,Run3,Run4
0,-55.42499921667794,-97.94329689411344,-71.3217053210914,-68.40412219135948,-62.0646363210246
10000,-164.72844587373612,-38.77446609177628,-116.07405258061463,-45.38041401249095,-45.007237653151726
20000,-203.29924531739374,-37.94828327485559,-43.10831219322953,-40.337218017215164,-39.888290640425474
30000,-214.02035476080985,-37.12347079789304,-96.84215869122053,-43.10359694182979,-36.77689237372177
40000,-214.6986999957726,-32.89151995582025,-56.629990445996,-44.67706063499434,-35.62423339089067
50000,-224.15766466996052,-33.065137286698594,-48.68157317298704,-46.90944635234597,-38.46918945472972
60000,-120.93981553310996,-33.31689705242509,-43.70204350334504,-51.89751795120374,-72.79742025280216
70000,-206.4609935733088,-33.93574230501883,-44.878545116634356,-74.26812221693027,-38.579572369541594
80000,-75.71530589190338,-33.827441653819875,-45.85972924609321,-72.89798983449994,-38.522707376677225
90000,-42.58153443526112,-34.177614910126756,-41.77500251071056,-75.94983892630513,-33.96295899310025
100000,-42.70436089783286,-33.53535064580093,-45.31367117813959,-71.76183819780678,-39.21337416664542
110000,-38.8916867048861,-34.0636726861608,-41.286929956222714,-69.09420343164955,-35.629943777308306
120000,-111.42014756049915,-35.32310952156502,-41.19067128057451,-71.20535235129292,-37.921231990564955
130000,-40.219600283806365,-34.73449959905302,-45.02978184245902,-79.08796778601739,-40.64744589608279
140000,-103.07667933721751,-33.98310594509023,-46.56133066158466,-46.252350166457504,-40.26038187804581
150000,-124.79893204101941,-33.71560810116201,-47.683940895001754,-46.156238975764964,-38.43477518883881
160000,-120.32961877306562,-38.05287791839385,-46.60938802207699,-41.178772289757184,-52.87167643228794
170000,-120.41059783128243,-34.37344227673316,-44.670164550441854,-42.340439958356924,-53.50291586768122
180000,-124.60132063711883,-33.56761160801533,-46.764130139584516,-40.92150648027759,-52.4946272160011
190000,-76.45725993168617,-32.994663556718294,-45.545975724099726,-45.201345263610726,-40.915514335666295
200000,-69.2809502009308,-33.0880275170617,-43.61846603225429,-67.59488776045959,-42.09924996058634
210000,-103.25847469995041,-28.196366786781933,-46.709470762108474,-92.34251297890775,-43.3867797869845
220000,-119.46147178639032,-36.22279676732196,-50.96584950273085,-45.65779480463142,-57.232985172365865
230000,-120.42511256082317,-36.507135922227356,-87.20753821604356,-42.24927028245584,-43.36797052084546
240000,-60.1715045783369,-36.65559240871582,-46.36795511697175,-47.17976362286443,-64.36410032509303
250000,-58.057648054850326,-35.8911237047599,-47.98212426863823,-42.95922971566552,-80.20421094736882
260000,-42.357832207331846,-37.00752947513258,-45.889300338274815,-45.46314148589433,-34.80511026934915
270000,-42.63760409142915,-36.674879946530446,-46.31806384688199,-61.08785768317994,-92.80730714024502
