idx,Run0,Run1,Run2,Run3,Run4
0,-56.045756959426576,-98.97260285996335,-72.55227612089652,-69.43737676757318,-62.233568286905395
10000,-204.58903270516663,-39.21483035649939,-122.15966864586507,-45.73909568608914,-44.660002378784874
20000,-229.94779122269316,-37.926091171073715,-49.37629658450198,-40.18614616434741,-35.98790219175675
30000,-214.46802351950907,-36.66917981608306,-98.31008190571022,-42.703126145976626,-36.968457652729484
40000,-233.6135530882092,-33.4219541128911,-86.20111159346047,-43.71951459822243,-34.48268688519827
50000,-243.639874643157,-33.73023039600421,-41.912209704003196,-43.03659507201872,-73.60279227600601
60000,-118.87881396892789,-33.904782323963495,-43.54407753088002,-46.906221502279415,-35.18644233662118
70000,-113.16556598642744,-33.80213435552656,-44.37171125010647,-72.93721297071416,-37.175035250765106
80000,-51.71255735537447,-34.229552508053736,-44.77082258392766,-46.09040227365644,-37.82700208848169
90000,-42.67951139794871,-34.26032301111206,-40.56835605055028,-46.40749913892283,-34.053364337307286
100000,-42.6833851337292,-34.006114175290726,-43.65778870962954,-44.580221462787236,-39.979297498973025
110000,-35.189082221387785,-34.14134122976903,-44.16891824917505,-47.24423024635461,-35.89226989573168
120000,-56.6895104646336,-34.001705971953776,-40.777608456607176,-71.02343572859817,-38.16549777049626
130000,-39.69397391869394,-33.736267985746984,-42.71841903311488,-48.97717297835561,-41.93035153796629
140000,-101.92163566638706,-33.46991325912482,-45.89077955244262,-76.89418629167004,-42.222925184580824
150000,-118.99187776120826,-33.76438515185869,-45.97921425092303,-44.31942317717938,-39.00943454516804
160000,-120.48308650623215,-32.85215128880912,-45.78330359709197,-40.17561923557756,-49.488940078935094
170000,-121.48654834812596,-33.92429460579094,-42.680181151553214,-40.156877319034265,-48.35330189295368
180000,-118.95854939379947,-32.987338247705075,-45.96350531080513,-40.81559168567682,-41.20447500333314
190000,-119.76287814687424,-32.328085978726754,-44.84416353921693,-45.15919280745386,-41.324172792565804
200000,-118.86206981270462,-32.1430454076913,-42.98848500937952,-43.917061331017436,-41.02034853991122
210000,-91.51132179783298,-33.101096587662944,-45.29898684878061,-44.582928063064394,-36.04756667270083
220000,-91.91171727571852,-27.964223776085547,-47.264638859467226,-45.568809326864866,-73.14575838672889
230000,-108.9019960385314,-36.011393313238614,-45.463925013494446,-41.46942476269453,-37.39593350575113
240000,-110.07578148226747,-37.26067194345042,-45.98138111688905,-66.03552515625985,-34.92697988638203
250000,-115.45706582950424,-36.817130442845084,-46.84030348478548,-42.39773393125249,-67.01773744787428
260000,-115.9773947785405,-35.033043213940985,-44.6819163760916,-45.13400903631035,-35.30559481995387
270000,-92.6925330280754,-30.008534514034462,-44.62369723880247,-62.73968638122903,-61.30591397431519
280000,-116.2643977018986,-30.13999301234276,-44.89771999980633,-41.77164522562162,-33.68106052028039
290000,-112.86996674191468,-30.028704943003433,-43.02959334755477,-42.59155368161699,-38.069613742374536
300000,-112.83918837382757,-30.407479421392893,-45.719420496191574,-42.45223563100914,-89.92792431929122
